Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.01,0,1,-0.0126
0.2,-0.01,0,1,-0.0126
0.4,-0.01,0,1,-0.0126
0.601,-0.01,0,1,-0.0126
0.8,-0.01,0,1,-0.0126
1.001,-0.01,0,1,-0.0126
1.2,-0.01,0,1,-0.0126
1.4,-0.01,0,1,-0.0126
1.6,-0.01,0,1,-0.0126
1.801,-0.01,0,1,-0.0126
2.001,-0.01,0,1,-0.0126
2.201,-0.01,0,1,-0.0126
2.401,-0.01,0,1,-0.0126
2.601,-0.01,0,1,-0.0126
2.8,-0.01,0,1,-0.0126
3.001,-0.01,0,1,-0.0126
3.2,-0.01,0,1,-0.0126
3.4,-0.01,0,1,-0.0126
3.599,-0.01,0,1,-0.0126
3.8,-0.01,0,1,-0.0126
4,-0.01,0,1,-0.0126
4.199,-0.01,0,1,-0.0126
4.401,-0.01,0,1,-0.0126
4.6,-0.01,0,1,-0.0126
4.8,-0.01,0,1,-0.0126
4.999,-0.01,0,1,-0.0126
5.201,-0.01,0,1,-0.0126
5.4,-0.01,0,1,-0.0126
5.6,-0.01,0,1,-0.0126
5.8,-0.01,0,1,-0.0126
6,-0.01,0,1,-0.0126
6.2,-0.01,0,1,-0.0126
6.401,-0.01,0,1,-0.0126
6.601,-0.01,0,1,-0.0126
6.8,-0.01,0,1,-0.0126
6.999,-0.01,0,1,-0.0126
7.2,-0.01,0,1,-0.0126
7.4,-0.01,0,1,-0.01275
7.6,-0.01,0,1,-0.01275
7.801,-0.01,0,1,-0.01275
8,-0.01,0,1,-0.01275
8.2,-0.01,0,1,-0.01275
8.4,-0.01,0,1,-0.01275
8.599,-0.01,0,1,-0.01275
8.8,-0.01,0,1,-0.01275
9.001,-0.01,0,1,-0.01275
9.199,-0.01,0,1,-0.01275
9.399,-0.01,0,1,-0.01275
9.599,-0.01,0,1,-0.01275
9.799,-0.01,0,1,-0.01275
10.002,-0.01,0,1,-0.0126
10.2,-0.01,0,1,-0.01035
10.401,-0.01,0,1,-0.0018
10.601,-0.01,0,1,-0.00045
10.8,-0.01,0,1,-0.00045
11,-0.01,0,1,0
11.199,-0.01,0,1,0.0003
11.401,-0.01,0,1,0.00045
11.599,-0.01,0,1,0.0003
11.8,-0.01,0,1,0.0003
11.999,-0.01,0,1,0.0003
12.199,-0.01,0,1,0.0003
12.4,-0.01,0,1,0.00045
12.601,-0.01,0,1,0.00045
12.799,-0.01,0,1,0.00045
12.999,-0.01,0,1,0.00045
13.2,-0.01,0,1,0.00045
13.399,-0.01,0,1,0.00045
13.6,-0.01,0,1,0.00045
13.8,-0.01,0,1,0.00045
14,-0.01,0,1,0.00045
14.2,-0.01,0,1,0.00045
14.4,-0.01,0,1,0.00045
14.601,-0.005,0,1,0.00045
14.8,-0.01,0,1,0.0006
15.001,-0.005,0,1,0.0006
15.201,-0.005,0,1,0.0006
15.4,-0.01,0,1,0.00045
