Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.0126,0.14415
0.02,-0.0126,0.14445
0.04,-0.0126,0.14445
0.06,-0.0132,0.14445
0.08,-0.01365,0.14445
0.099,-0.01245,0.1443
0.12,-0.0135,0.1443
0.14,-0.0135,0.14445
0.16,-0.01335,0.1443
0.18,-0.0126,0.14445
0.2,-0.01245,0.1446
0.22,-0.01245,0.1446
0.24,-0.01245,0.14445
0.26,-0.01245,0.14445
0.279,-0.01245,0.1446
0.3,-0.01335,0.1446
0.32,-0.01335,0.14445
0.34,-0.0135,0.1446
0.359,-0.0123,0.14445
0.38,-0.0126,0.1443
0.401,-0.01335,0.14445
0.42,-0.01335,0.14445
0.44,-0.01335,0.1443
0.46,-0.01335,0.14415
0.481,-0.01335,0.144
0.501,-0.01335,0.14415
0.52,-0.01335,0.1443
0.54,-0.01335,0.14445
0.56,-0.0135,0.14445
0.58,-0.01335,0.1443
0.6,-0.01245,0.1443
0.62,-0.01245,0.1443
0.64,-0.01245,0.1443
0.66,-0.0123,0.1443
0.68,-0.01245,0.1443
0.7,-0.0123,0.1443
0.72,-0.01245,0.14415
0.741,-0.01335,0.14415
0.76,-0.01245,0.14445
0.78,-0.0123,0.14445
0.8,-0.01245,0.1443
0.82,-0.0123,0.14415
0.841,-0.01335,0.14415
0.861,-0.01335,0.14415
0.881,-0.01335,0.14415
0.9,-0.01335,0.1443
0.92,-0.01335,0.14415
0.94,-0.01335,0.14415
0.96,-0.0132,0.14415
0.98,-0.01335,0.14415
1,-0.01335,0.1443
1.02,-0.0123,0.1443
1.04,-0.0123,0.14415
1.061,-0.01335,0.14415
1.081,-0.01335,0.14445
1.101,-0.01335,0.14445
1.121,-0.01335,0.14445
1.14,-0.01335,0.14445
1.16,-0.01335,0.14445
1.18,-0.0132,0.1443
1.2,-0.01335,0.14475
1.22,-0.0123,0.14475
1.24,-0.0123,0.14475
1.26,-0.0123,0.1446
1.28,-0.01215,0.1446
1.3,-0.0123,0.14475
1.32,-0.0123,0.14475
1.34,-0.01335,0.14445
1.36,-0.0132,0.1446
1.38,-0.0132,0.1446
1.399,-0.0123,0.1446
1.42,-0.0132,0.1446
1.44,-0.0132,0.1446
1.46,-0.0132,0.1446
1.479,-0.01215,0.1446
1.5,-0.0132,0.1446
1.52,-0.0132,0.14475
1.54,-0.0132,0.14475
1.56,-0.0132,0.14475
1.58,-0.0132,0.14475
1.6,-0.01335,0.14475
1.62,-0.01215,0.14475
1.64,-0.01215,0.14505
1.659,-0.0111,0.1449
1.68,-0.01215,0.14505
1.7,-0.0123,0.14505
1.72,-0.0123,0.14535
1.74,-0.0123,0.1449
1.76,-0.01215,0.14475
1.78,-0.01215,0.1446
1.8,-0.01215,0.14475
1.819,-0.0111,0.1449
1.84,-0.01215,0.14475
1.86,-0.012,0.14445
1.881,-0.01335,0.14475
1.901,-0.0132,0.1449
1.92,-0.0132,0.1449
1.94,-0.01215,0.14475
1.96,-0.01215,0.14475
1.98,-0.01215,0.1446
1.999,-0.01215,0.14475
2.02,-0.0132,0.14475
2.04,-0.01215,0.1446
2.06,-0.01215,0.14475
2.08,-0.01215,0.14475
2.1,-0.01215,0.1446
2.12,-0.01215,0.1446
2.14,-0.012,0.1446
2.16,-0.01215,0.14445
2.18,-0.01215,0.14445
2.201,-0.0132,0.14445
2.22,-0.01335,0.1443
2.24,-0.0132,0.14415
2.259,-0.01215,0.14445
2.28,-0.0132,0.14445
2.3,-0.0132,0.14445
2.32,-0.0132,0.1443
2.339,-0.01215,0.1446
2.36,-0.0132,0.14475
2.38,-0.01335,0.14475
2.4,-0.01215,0.14505
2.42,-0.0132,0.1449
2.44,-0.01215,0.1449
2.46,-0.01215,0.14475
2.481,-0.0132,0.1449
2.501,-0.0132,0.1449
2.521,-0.0132,0.14475
2.54,-0.0132,0.1446
2.56,-0.0132,0.1446
2.58,-0.0132,0.14475
2.6,-0.0132,0.1449
2.62,-0.0132,0.1449
2.64,-0.01335,0.14505
2.66,-0.0132,0.1449
2.68,-0.0132,0.1449
2.7,-0.01215,0.1449
2.72,-0.0132,0.14475
2.74,-0.01335,0.1446
2.76,-0.01305,0.14445
2.78,-0.012,0.14445
2.8,-0.012,0.1443
2.82,-0.012,0.1443
2.84,-0.012,0.14415
2.86,-0.012,0.1443
2.881,-0.01305,0.14445
2.9,-0.012,0.14445
2.92,-0.012,0.1446
2.94,-0.012,0.14445
2.96,-0.012,0.14415
2.98,-0.012,0.14415
3,-0.012,0.1443
3.021,-0.0132,0.14445
3.042,-0.01335,0.14445
3.06,-0.0132,0.14445
3.08,-0.0132,0.1443
3.1,-0.0132,0.1443
3.12,-0.01305,0.1443
3.14,-0.0132,0.1443
3.16,-0.01305,0.1443
3.18,-0.012,0.1443
3.199,-0.01185,0.1443
3.22,-0.0132,0.14445
3.24,-0.01305,0.1443
3.26,-0.01185,0.14445
3.279,-0.012,0.1446
3.3,-0.01305,0.14445
3.32,-0.0132,0.14445
3.34,-0.01305,0.1443
3.359,-0.01185,0.1443
3.381,-0.01305,0.1446
3.401,-0.0132,0.14445
3.42,-0.0129,0.1446
3.44,-0.0132,0.1446
3.46,-0.0129,0.14445
3.48,-0.01185,0.14445
3.5,-0.01185,0.1446
3.52,-0.01185,0.14445
3.541,-0.01305,0.14445
3.56,-0.012,0.14445
3.58,-0.01185,0.1443
3.6,-0.01185,0.1443
3.621,-0.0129,0.14415
3.64,-0.01305,0.14415
3.66,-0.01305,0.14415
3.68,-0.01185,0.14415
3.7,-0.01185,0.1443
3.72,-0.01185,0.14445
3.74,-0.01185,0.1446
3.76,-0.012,0.1443
3.78,-0.01185,0.14415
3.801,-0.01305,0.14415
3.82,-0.0129,0.144
3.84,-0.0129,0.1437
3.86,-0.01305,0.14355
3.88,-0.0129,0.14325
3.9,-0.01305,0.1431
3.92,-0.01185,0.1431
3.94,-0.01185,0.14295
3.96,-0.01185,0.1428
3.98,-0.01185,0.14265
4,-0.01185,0.14235
4.02,-0.01185,0.14205
4.04,-0.01185,0.14175
4.06,-0.01185,0.14145
4.081,-0.01305,0.1413
4.101,-0.01305,0.141
4.121,-0.01305,0.14085
4.14,-0.0141,0.1407
4.16,-0.0114,0.14055
4.18,-0.00825,0.1404
4.2,-0.00735,0.1404
4.22,-0.0069,0.14025
4.239,-0.00645,0.13995
4.26,-0.00735,0.1395
4.28,-0.00705,0.13935
4.3,-0.00675,0.1395
4.32,-0.00645,0.1395
4.34,-0.00495,0.1395
4.36,-0.0048,0.1392
4.38,-0.00465,0.1389
