Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.01695,0.8335
0.021,-0.0156,0.8335
0.04,-0.01545,0.8335
0.059,-0.01515,0.833
0.08,-0.01545,0.8335
0.101,-0.0156,0.8335
0.12,-0.01545,0.833
0.14,-0.01545,0.8335
0.161,-0.0156,0.8335
0.181,-0.0156,0.8335
0.201,-0.0156,0.8335
0.221,-0.01545,0.8335
0.24,-0.01545,0.8335
0.26,-0.01545,0.8335
0.281,-0.0156,0.8335
0.301,-0.0156,0.8335
0.32,-0.01545,0.8335
0.341,-0.01545,0.8335
0.361,-0.0156,0.8335
0.381,-0.01545,0.8335
0.4,-0.01545,0.8335
0.42,-0.01545,0.8335
0.44,-0.01545,0.8335
0.46,-0.01545,0.8335
0.481,-0.01545,0.8335
0.5,-0.01545,0.8335
0.521,-0.0156,0.833
0.541,-0.0156,0.833
0.561,-0.0156,0.833
0.581,-0.0156,0.833
0.601,-0.0156,0.833
0.621,-0.01545,0.833
0.641,-0.0156,0.833
0.66,-0.0156,0.833
0.68,-0.01545,0.833
0.7,-0.01545,0.8335
0.722,-0.01575,0.8335
0.74,-0.01545,0.8335
0.76,-0.01545,0.8335
0.78,-0.0156,0.8335
0.801,-0.0156,0.8335
0.821,-0.0156,0.8335
0.841,-0.01545,0.833
0.861,-0.0156,0.8335
0.88,-0.0156,0.8335
0.9,-0.01545,0.833
0.92,-0.01545,0.833
0.94,-0.01545,0.833
0.96,-0.01545,0.833
0.98,-0.01545,0.8335
1.001,-0.0156,0.833
1.021,-0.0156,0.833
1.041,-0.0156,0.833
1.061,-0.0156,0.833
1.081,-0.0156,0.833
1.101,-0.01545,0.833
1.121,-0.0156,0.833
1.141,-0.01545,0.833
1.161,-0.01545,0.833
1.18,-0.0156,0.833
1.2,-0.01545,0.833
1.22,-0.01545,0.833
1.24,-0.01545,0.833
1.26,-0.01545,0.833
1.28,-0.01545,0.833
1.3,-0.01545,0.833
1.319,-0.01515,0.833
1.34,-0.01545,0.8335
1.36,-0.01545,0.833
1.38,-0.01545,0.833
1.399,-0.01515,0.833
1.42,-0.01545,0.833
1.44,-0.01545,0.833
1.46,-0.01545,0.8335
1.48,-0.01545,0.8335
1.5,-0.01545,0.8335
1.52,-0.01545,0.833
1.54,-0.01545,0.8335
1.56,-0.01545,0.833
1.581,-0.0156,0.833
1.601,-0.0156,0.8335
1.621,-0.0156,0.8335
1.641,-0.01545,0.8335
1.661,-0.0156,0.8335
1.681,-0.0156,0.8335
1.701,-0.0156,0.8335
1.721,-0.0156,0.8335
1.74,-0.0156,0.8335
1.76,-0.01545,0.8335
1.78,-0.01545,0.833
1.8,-0.01545,0.833
1.821,-0.01545,0.833
1.841,-0.01545,0.833
1.861,-0.0156,0.833
1.881,-0.01545,0.833
1.9,-0.01545,0.833
1.92,-0.0156,0.8335
1.94,-0.01545,0.833
1.96,-0.0153,0.833
1.98,-0.01545,0.833
2,-0.01545,0.833
2.021,-0.0156,0.833
2.041,-0.0156,0.833
2.061,-0.0156,0.833
2.081,-0.01545,0.833
2.101,-0.0156,0.833
2.121,-0.0156,0.833
2.14,-0.01545,0.8335
2.161,-0.0156,0.8335
2.181,-0.0156,0.833
2.201,-0.0156,0.8335
2.22,-0.0156,0.833
2.24,-0.01545,0.833
2.261,-0.01545,0.833
2.281,-0.0156,0.833
2.301,-0.0156,0.833
2.32,-0.0156,0.833
2.34,-0.01545,0.833
2.36,-0.0156,0.833
2.38,-0.01545,0.833
2.4,-0.01545,0.833
2.42,-0.01545,0.833
2.44,-0.01545,0.833
2.46,-0.01545,0.8335
2.48,-0.0153,0.8335
2.5,-0.01545,0.8335
2.521,-0.01545,0.8335
2.541,-0.0156,0.8335
2.561,-0.0156,0.8335
2.581,-0.0156,0.8335
2.601,-0.01545,0.833
2.621,-0.0156,0.833
2.64,-0.01545,0.833
2.66,-0.0153,0.833
2.68,-0.01545,0.833
2.7,-0.01545,0.833
2.719,-0.01515,0.833
2.74,-0.0153,0.833
2.76,-0.01545,0.833
2.78,-0.01545,0.833
2.801,-0.01545,0.833
2.821,-0.0156,0.833
2.841,-0.01545,0.833
2.861,-0.0156,0.833
2.881,-0.01545,0.833
2.901,-0.0156,0.833
2.921,-0.0156,0.8335
2.94,-0.01545,0.8335
