Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.03045,0.1869
0.02,-0.03045,0.18705
0.04,-0.0303,0.18675
0.06,-0.0303,0.1869
0.08,-0.03045,0.1869
0.1,-0.03,0.18675
0.12,-0.03015,0.1866
0.14,-0.03015,0.18675
0.16,-0.03045,0.18675
0.18,-0.0303,0.1866
0.201,-0.03,0.18675
0.221,-0.03,0.1866
0.241,-0.03,0.1866
0.26,-0.0303,0.1866
0.281,-0.03,0.1863
0.301,-0.03,0.1863
0.32,-0.0303,0.18645
0.341,-0.03,0.1866
0.361,-0.03,0.18675
0.38,-0.03,0.1869
0.4,-0.03045,0.18705
0.42,-0.03045,0.18675
0.441,-0.03,0.18675
0.46,-0.03045,0.18675
0.48,-0.0303,0.1866
0.5,-0.0303,0.18645
0.52,-0.03045,0.1863
0.54,-0.03045,0.1863
0.561,-0.03,0.186
0.581,-0.03,0.186
0.601,-0.03,0.18615
0.621,-0.03,0.1863
0.64,-0.03,0.1863
0.66,-0.03045,0.1863
0.68,-0.03045,0.18645
0.7,-0.03045,0.1869
0.72,-0.0303,0.18735
0.741,-0.03015,0.18735
0.76,-0.0303,0.18735
0.781,-0.03,0.1875
0.801,-0.03,0.18765
0.82,-0.03045,0.18765
0.841,-0.03015,0.1875
0.861,-0.03015,0.18735
0.881,-0.03015,0.1872
0.901,-0.03015,0.18705
0.92,-0.03045,0.1869
0.94,-0.03045,0.18675
0.96,-0.0303,0.1866
0.98,-0.03045,0.18675
0.999,-0.0306,0.1869
1.02,-0.03045,0.1869
1.039,-0.03045,0.1869
1.06,-0.03045,0.18675
1.08,-0.03045,0.18675
1.1,-0.03045,0.18675
1.119,-0.0306,0.18675
1.14,-0.03045,0.18675
1.161,-0.03015,0.1869
1.18,-0.03,0.1869
1.2,-0.03,0.18675
1.22,-0.0303,0.18705
1.24,-0.0303,0.1872
1.26,-0.03045,0.18735
1.28,-0.03045,0.1875
1.3,-0.03045,0.18765
1.32,-0.03045,0.18765
1.34,-0.03045,0.18765
1.361,-0.03015,0.1878
1.381,-0.03015,0.18765
1.401,-0.03,0.1875
1.421,-0.03,0.18765
1.441,-0.03,0.18735
1.461,-0.03015,0.18735
1.48,-0.03,0.1875
1.5,-0.03045,0.18795
1.52,-0.0303,0.1878
1.54,-0.0303,0.1878
1.56,-0.0303,0.1875
1.58,-0.0303,0.1872
1.601,-0.02985,0.18705
1.619,-0.0306,0.1872
1.64,-0.0303,0.1872
1.66,-0.0303,0.1872
1.68,-0.0303,0.18735
1.7,-0.0303,0.18705
1.721,-0.03,0.1869
1.74,-0.0303,0.1869
1.76,-0.0303,0.18675
1.78,-0.0303,0.18675
1.8,-0.0303,0.18675
1.82,-0.0303,0.1866
1.841,-0.03,0.18675
1.86,-0.0303,0.1866
1.88,-0.03,0.1866
1.9,-0.0303,0.1866
1.92,-0.0303,0.18675
1.941,-0.03,0.1869
1.96,-0.0303,0.1869
1.98,-0.0303,0.18675
2.001,-0.03,0.1866
2.021,-0.03,0.1866
2.041,-0.03,0.1869
2.06,-0.0303,0.1869
2.081,-0.03,0.1869
2.101,-0.03,0.18675
2.121,-0.03,0.1869
2.14,-0.03,0.18705
2.16,-0.0303,0.18705
2.18,-0.0303,0.18705
2.2,-0.0303,0.18735
2.22,-0.0303,0.1875
2.24,-0.0303,0.18735
2.261,-0.03,0.1872
2.28,-0.03,0.1872
2.3,-0.0303,0.18705
2.32,-0.0303,0.1872
2.34,-0.03,0.1872
2.36,-0.0303,0.18735
2.38,-0.0303,0.18735
2.4,-0.0303,0.1872
2.421,-0.03,0.18735
2.441,-0.03,0.1872
2.461,-0.03,0.1872
2.481,-0.03015,0.1869
2.5,-0.0303,0.18675
2.52,-0.0303,0.18675
2.54,-0.0303,0.18705
2.56,-0.0303,0.18705
2.58,-0.03045,0.1869
2.6,-0.0303,0.1869
2.62,-0.0303,0.1869
2.641,-0.03,0.1869
2.66,-0.0303,0.1869
2.68,-0.0303,0.18705
2.701,-0.03015,0.18705
2.721,-0.03015,0.1869
2.741,-0.03015,0.18675
2.761,-0.03,0.18675
2.781,-0.03015,0.1869
2.801,-0.03,0.1869
2.821,-0.03,0.18705
2.84,-0.0303,0.18705
2.86,-0.0303,0.18705
2.881,-0.03015,0.18705
2.901,-0.03015,0.18705
2.921,-0.03015,0.18705
2.941,-0.03015,0.18675
2.961,-0.03,0.18675
2.981,-0.03015,0.18675
3.001,-0.03,0.1866
3.02,-0.0303,0.1866
3.04,-0.0303,0.1866
3.06,-0.0303,0.1869
3.08,-0.0303,0.18705
3.1,-0.0303,0.18705
3.12,-0.0303,0.18705
3.141,-0.03015,0.18705
3.161,-0.03015,0.1872
3.181,-0.03015,0.1872
3.201,-0.03,0.1872
3.221,-0.03015,0.1872
3.241,-0.03015,0.18705
3.261,-0.03015,0.1872
3.28,-0.03045,0.1872
3.3,-0.0303,0.1872
3.32,-0.0303,0.1872
3.34,-0.0303,0.1872
