Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.0235,0,1,-0.01875
0.02,0.0235,0,1,-0.01875
0.04,0.0235,0,1,-0.01875
0.06,0.024,0,1,-0.01875
0.08,0.0235,0,1,-0.01875
0.1,0.0235,0,1,-0.01875
0.12,0.0235,0,1,-0.01875
0.14,0.0235,0,1,-0.01875
0.161,0.0235,0,1,-0.01875
0.181,0.0235,0,1,-0.01875
0.2,0.0235,0,1,-0.01875
0.221,0.0235,0,1,-0.01875
0.241,0.024,0,1,-0.01875
0.261,0.024,0,1,-0.01875
0.28,0.024,0,1,-0.01875
0.301,0.024,0,1,-0.01875
0.321,0.024,0,1,-0.01875
0.341,0.024,0,1,-0.01875
0.361,0.024,0,1,-0.01875
0.381,0.0235,0,1,-0.01875
0.4,0.0235,0,1,-0.01875
0.42,0.0235,0,1,-0.01875
0.44,0.024,0,1,-0.01875
0.46,0.024,0,1,-0.01875
0.481,0.0235,0,1,-0.01875
0.501,0.0235,0,1,-0.01875
0.521,0.0235,0,1,-0.01875
0.541,0.024,0,1,-0.01875
0.56,0.024,0,1,-0.01875
0.58,0.024,0,1,-0.01875
0.6,0.0235,0,1,-0.01875
0.62,0.0235,0,1,-0.01875
0.641,0.024,0,1,-0.01875
0.661,0.0235,0,1,-0.01875
0.681,0.0235,0,1,-0.01875
0.703,0.0235,0,1,-0.01875
0.721,0.024,0,1,-0.01875
0.74,0.024,0,1,-0.01875
0.76,0.024,0,1,-0.01875
0.779,0.024,0,1,-0.01875
0.801,0.0235,0,1,-0.01875
0.821,0.0235,0,1,-0.01875
0.84,0.0235,0,1,-0.01875
0.86,0.0235,0,1,-0.01875
0.881,0.0235,0,1,-0.01875
0.901,0.024,0,1,-0.01875
0.921,0.024,0,1,-0.01875
0.941,0.024,0,1,-0.01875
0.961,0.024,0,1,-0.01875
0.981,0.0235,0,1,-0.01875
1.001,0.0235,0,1,-0.01875
1.021,0.024,0,1,-0.01875
1.04,0.0235,0,1,-0.01875
1.059,0.0235,0,1,-0.01875
1.08,0.0235,0,1,-0.01875
1.101,0.0235,0,1,-0.01875
1.121,0.0235,0,1,-0.01875
1.141,0.0235,0,1,-0.01875
1.161,0.0235,0,1,-0.01875
1.181,0.024,0,1,-0.01875
1.201,0.0235,0,1,-0.01875
1.22,0.0235,0,1,-0.01875
1.241,0.0235,0,1,-0.01875
1.261,0.0235,0,1,-0.01875
1.28,0.0235,0,1,-0.01875
1.301,0.0235,0,1,-0.01875
1.321,0.0235,0,1,-0.01875
1.341,0.0235,0,1,-0.01875
1.361,0.0235,0,1,-0.01875
1.381,0.024,0,1,-0.01875
1.401,0.024,0,1,-0.01875
1.421,0.024,0,1,-0.01875
1.441,0.024,0,1,-0.01875
1.461,0.024,0,1,-0.01875
1.48,0.024,0,1,-0.01875
