Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.005,0,1,0.1158
0.019,-0.005,0,1,0.11475
0.04,-0.005,0,1,0.12645
0.06,-0.005,0,1,0.14715
0.08,-0.005,0,1,0.15195
0.1,-0.01,0,1,0.1512
0.12,-0.01,0,1,0.17295
0.139,-0.005,0,1,0.1698
0.159,-0.005,0,1,0.17355
0.18,-0.005,0,1,0.17565
0.199,-0.01,0,1,0.1752
0.22,-0.01,0,1,0.17535
0.24,-0.005,0,1,0.1794
0.26,-0.005,0,1,0.1701
0.28,-0.01,0,1,0.15465
0.3,-0.01,0,1,0.14745
0.319,-0.01,0,1,0.14715
0.34,-0.005,0,1,0.1476
0.36,-0.005,0,1,0.14715
0.38,-0.005,0,1,0.1452
0.399,-0.005,0,1,0.14625
0.42,-0.005,0,1,0.1431
0.44,-0.01,0,1,0.144
0.46,-0.005,0,1,0.1476
0.479,-0.01,0,1,0.1542
0.5,-0.005,0,1,0.15015
0.52,-0.005,0,1,0.15615
0.54,-0.005,0,1,0.1536
0.56,-0.005,0,1,0.1479
0.58,-0.005,0,1,0.14805
0.601,-0.01,0,1,0.1494
0.62,-0.01,0,1,0.1563
0.64,-0.005,0,1,0.16995
0.66,-0.005,0,1,0.16485
0.68,-0.01,0,1,0.16305
0.7,-0.005,0,1,0.16425
0.721,-0.005,0,1,0.17205
0.741,-0.005,0,1,0.1611
0.76,-0.005,0,1,0.14565
0.78,-0.005,0,1,0.1374
0.8,-0.005,0,1,0.08325
0.82,-0.005,0,1,0.06915
0.84,-0.005,0,1,0.0621
0.86,-0.01,0,1,0.0243
0.88,-0.005,0,1,-0.0195
0.899,-0.005,0,1,-0.0336
0.92,-0.005,0,1,-0.0375
0.94,-0.005,0,1,-0.04245
0.96,-0.005,0,1,-0.05385
0.98,-0.005,0,1,-0.05745
1,-0.01,0,1,-0.06255
1.02,-0.005,0,1,-0.06585
1.04,-0.005,0,1,-0.07155
1.06,-0.01,0,1,-0.07425
1.08,-0.005,0,1,-0.07635
1.1,-0.005,0,1,-0.0762
1.12,-0.005,0,1,-0.07035
1.14,-0.005,0,1,-0.2757
1.16,-0.005,0,1,-0.17475
1.179,-0.005,0,1,0.0801
1.2,-0.01,0,1,0.14115
1.22,-0.005,0,1,0.14145
1.24,-0.005,0,1,0.16245
1.26,-0.005,0,1,0.1635
1.279,-0.005,0,1,0.16605
1.3,-0.005,0,1,0.16785
