Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.009,0.12225
0.021,-0.00885,0.1221
0.04,-0.009,0.1221
0.061,-0.009,0.1221
0.081,-0.00885,0.1221
0.101,-0.00885,0.12225
0.12,-0.00885,0.1221
0.14,-0.00885,0.12225
0.16,-0.00885,0.1224
0.18,-0.009,0.12225
0.2,-0.009,0.12225
0.22,-0.009,0.12225
0.24,-0.00885,0.1224
0.26,-0.009,0.12225
0.28,-0.009,0.1224
0.3,-0.00915,0.1227
0.32,-0.009,0.1224
0.34,-0.009,0.12225
0.36,-0.009,0.12225
0.381,-0.00885,0.1224
0.401,-0.00885,0.1224
0.421,-0.00885,0.1224
0.441,-0.00885,0.12255
0.461,-0.00885,0.12225
0.481,-0.00885,0.12225
0.501,-0.0087,0.12225
0.521,-0.00885,0.12225
0.541,-0.00885,0.1224
0.561,-0.00885,0.12225
0.581,-0.00885,0.1224
0.601,-0.00885,0.1224
0.621,-0.00885,0.12255
0.64,-0.00915,0.1227
0.661,-0.00885,0.1227
0.68,-0.00885,0.12255
0.7,-0.009,0.12255
0.72,-0.00915,0.12255
0.74,-0.00915,0.12255
0.761,-0.00885,0.1224
0.781,-0.00885,0.1227
0.801,-0.00885,0.1227
0.82,-0.00855,0.12255
0.841,-0.00885,0.12255
0.861,-0.00885,0.12255
0.881,-0.00885,0.12255
0.901,-0.00885,0.12255
0.921,-0.0087,0.12255
0.941,-0.00885,0.12255
0.96,-0.00885,0.12255
0.98,-0.00915,0.12255
1.001,-0.0087,0.1224
1.021,-0.00885,0.1227
1.04,-0.00825,0.1227
1.06,-0.009,0.12255
1.081,-0.0087,0.12255
1.1,-0.00915,0.12255
1.121,-0.00885,0.1224
1.141,-0.00885,0.12255
1.16,-0.009,0.12255
1.18,-0.009,0.1224
1.201,-0.00885,0.12225
1.221,-0.00885,0.12225
1.241,-0.00885,0.1224
1.261,-0.0087,0.12255
1.281,-0.00885,0.12255
1.301,-0.00885,0.1224
1.32,-0.009,0.12225
1.341,-0.00885,0.1224
1.361,-0.00885,0.12255
1.381,-0.00885,0.1224
1.401,-0.00885,0.12255
1.42,-0.009,0.1227
1.44,-0.0087,0.12255
1.46,-0.009,0.1224
1.48,-0.00915,0.1224
1.5,-0.009,0.12255
1.521,-0.0087,0.12255
1.541,-0.0087,0.1227
1.561,-0.0087,0.1224
1.581,-0.0087,0.12255
1.601,-0.0087,0.12255
1.62,-0.0087,0.1227
1.64,-0.0087,0.12225
1.66,-0.00915,0.12225
1.68,-0.009,0.1221
1.7,-0.00915,0.1221
1.72,-0.009,0.1221
1.74,-0.009,0.1221
