Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.01,0,1,-0.0168
0.05,-0.005,0,1,-0.0168
0.1,-0.01,0,1,-0.01665
0.151,-0.01,0,1,-0.01665
0.2,-0.01,0,1,-0.01665
0.25,-0.005,0,1,-0.01665
0.3,-0.01,0,1,-0.01665
0.35,-0.005,0,1,-0.01665
0.4,-0.01,0,1,-0.01665
0.45,-0.005,0,1,-0.01665
0.501,-0.01,0,1,-0.01665
0.55,-0.005,0,1,-0.01665
0.6,-0.01,0,1,-0.01665
0.651,-0.005,0,1,-0.01665
0.7,-0.01,0,1,-0.01665
0.75,-0.005,0,1,-0.01665
0.8,-0.01,0,1,-0.01665
0.85,-0.005,0,1,-0.01665
0.9,-0.01,0,1,-0.01665
0.949,-0.005,0,1,-0.01665
0.999,-0.01,0,1,-0.01665
1.05,-0.005,0,1,-0.01665
1.1,-0.01,0,1,-0.01665
1.15,-0.005,0,1,-0.01665
1.2,-0.01,0,1,-0.01665
1.249,-0.005,0,1,-0.01665
1.299,-0.01,0,1,-0.01665
1.35,-0.005,0,1,-0.01665
1.399,-0.01,0,1,-0.01665
1.45,-0.005,0,1,-0.01665
1.5,-0.01,0,1,-0.0138
1.55,-0.005,0,1,-0.0138
1.6,-0.01,0,1,-0.00675
1.649,-0.005,0,1,-0.00675
1.7,-0.01,0,1,-0.00495
1.75,-0.005,0,1,-0.00495
1.801,-0.01,0,1,-0.00375
1.851,-0.005,0,1,-0.00375
1.9,-0.01,0,1,-0.00285
1.949,-0.005,0,1,-0.00285
2,-0.01,0,1,-0.0024
2.051,-0.005,0,1,-0.0024
2.1,-0.01,0,1,-0.00225
2.15,-0.005,0,1,-0.00225
2.2,-0.01,0,1,-0.0021
2.249,-0.005,0,1,-0.0021
2.3,-0.01,0,1,-0.0018
2.35,-0.005,0,1,-0.0018
2.4,-0.01,0,1,-0.0018
2.45,-0.005,0,1,-0.0018
2.5,-0.01,0,1,-0.00165
2.55,-0.005,0,1,-0.00165
2.6,-0.01,0,1,-0.00165
2.65,-0.005,0,1,-0.00165
2.7,-0.01,0,1,-0.0015
2.75,-0.005,0,1,-0.0015
2.8,-0.01,0,1,-0.0015
2.851,-0.005,0,1,-0.0015
2.9,-0.01,0,1,-0.0015
2.95,-0.005,0,1,-0.0015
3,-0.01,0,1,-0.0015
3.049,-0.005,0,1,-0.0015
3.099,-0.01,0,1,-0.0015
3.15,-0.005,0,1,-0.0015
3.2,-0.01,0,1,-0.00135
3.25,-0.005,0,1,-0.00135
3.3,-0.01,0,1,-0.0015
3.35,-0.005,0,1,-0.0015
3.399,-0.01,0,1,-0.0015
3.449,-0.005,0,1,-0.0015
3.5,-0.01,0,1,-0.0015
3.55,-0.005,0,1,-0.0015
3.601,-0.01,0,1,-0.0015
3.651,-0.005,0,1,-0.0015
3.7,-0.01,0,1,-0.0015
3.75,-0.005,0,1,-0.0015
3.8,-0.01,0,1,-0.0015
3.85,-0.005,0,1,-0.0015
3.901,-0.01,0,1,-0.0015
3.95,-0.005,0,1,-0.0015
4.001,-0.01,0,1,-0.00135
4.05,-0.005,0,1,-0.00135
4.1,-0.01,0,1,-0.00135
4.15,-0.005,0,1,-0.00135
4.2,-0.01,0,1,-0.0012
4.25,-0.005,0,1,-0.0012
4.299,-0.01,0,1,-0.0012
4.35,-0.005,0,1,-0.0012
4.401,-0.01,0,1,-0.0012
4.45,-0.005,0,1,-0.0012
4.501,-0.01,0,1,-0.0012
4.55,-0.005,0,1,-0.0012
4.6,-0.01,0,1,-0.0012
4.651,-0.005,0,1,-0.0012
4.7,-0.01,0,1,-0.0012
4.75,-0.005,0,1,-0.0012
