Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.0108,0.11895
0.021,-0.0123,0.1188
0.04,-0.01185,0.1188
0.061,-0.01215,0.1188
0.081,-0.0123,0.1188
0.1,-0.01185,0.1188
0.12,-0.01185,0.1188
0.141,-0.0123,0.11895
0.16,-0.0123,0.11895
0.181,-0.01185,0.1188
0.2,-0.01185,0.1188
0.22,-0.01185,0.1188
0.24,-0.01185,0.1191
0.26,-0.01185,0.11895
0.281,-0.0123,0.11895
0.3,-0.01185,0.1188
0.321,-0.0123,0.1188
0.34,-0.01185,0.1188
0.36,-0.01185,0.1188
0.38,-0.01185,0.1188
0.4,-0.0117,0.1188
0.42,-0.01185,0.11895
0.441,-0.01245,0.11895
0.46,-0.0117,0.11895
0.481,-0.01245,0.1191
0.501,-0.0123,0.1191
0.521,-0.01245,0.11895
0.541,-0.01245,0.1188
0.561,-0.01245,0.1188
0.58,-0.01035,0.11865
0.6,-0.0117,0.1188
0.619,-0.01035,0.11895
0.64,-0.0117,0.1191
0.66,-0.0117,0.11895
0.679,-0.01035,0.1188
0.7,-0.0117,0.11895
0.72,-0.01155,0.11895
0.74,-0.01155,0.11895
0.761,-0.01245,0.1191
0.781,-0.01155,0.1191
0.801,-0.01245,0.1191
0.82,-0.01155,0.11925
0.841,-0.0126,0.1191
0.861,-0.01245,0.1191
0.881,-0.01245,0.11895
0.901,-0.0123,0.1191
0.921,-0.01155,0.11895
0.941,-0.0114,0.1191
0.96,-0.01155,0.11895
0.98,-0.01155,0.1188
1,-0.0114,0.1188
1.02,-0.0114,0.1188
1.039,-0.01005,0.11895
1.06,-0.0114,0.11925
1.08,-0.0114,0.11925
1.1,-0.0114,0.11925
1.12,-0.0114,0.11925
1.14,-0.01125,0.1191
1.161,-0.0123,0.11925
1.181,-0.0123,0.1191
1.2,-0.01125,0.11925
1.22,-0.01125,0.1194
1.241,-0.0123,0.11955
1.261,-0.01215,0.11955
1.281,-0.0123,0.1194
1.301,-0.0111,0.1194
1.321,-0.01125,0.11955
1.34,-0.01125,0.11955
1.36,-0.01125,0.1194
1.381,-0.01215,0.1194
1.401,-0.0123,0.1194
1.421,-0.01215,0.1191
1.441,-0.01215,0.1191
1.461,-0.01215,0.1191
1.481,-0.0111,0.1188
1.5,-0.0111,0.11865
1.52,-0.0111,0.1188
1.54,-0.0111,0.11925
1.561,-0.012,0.1194
1.581,-0.01215,0.11925
1.601,-0.01215,0.1191
1.62,-0.01095,0.11895
1.64,-0.01095,0.11895
1.66,-0.01095,0.11925
1.681,-0.012,0.11925
1.701,-0.012,0.11925
1.721,-0.01215,0.1194
1.741,-0.012,0.1194
1.761,-0.012,0.1194
1.781,-0.01215,0.1191
1.801,-0.012,0.1191
1.821,-0.01095,0.1191
1.841,-0.01095,0.1191
1.86,-0.01095,0.11925
1.88,-0.0108,0.11925
1.901,-0.012,0.11895
1.921,-0.0108,0.11895
1.94,-0.0108,0.1191
1.96,-0.01005,0.1191
1.98,-0.0108,0.11925
2,-0.0108,0.1194
2.02,-0.0108,0.11925
2.039,-0.0099,0.11925
2.06,-0.01065,0.1194
2.08,-0.01065,0.11925
2.1,-0.01065,0.11925
2.12,-0.01065,0.1194
2.141,-0.01185,0.1191
2.161,-0.01185,0.1188
2.181,-0.01185,0.1191
2.201,-0.01185,0.1191
2.22,-0.0105,0.1191
2.241,-0.01185,0.1194
2.261,-0.01185,0.1194
2.281,-0.0117,0.1194
2.301,-0.0117,0.11925
2.321,-0.0117,0.11925
2.341,-0.0105,0.11925
2.361,-0.0105,0.11925
2.382,-0.0123,0.1191
2.4,-0.0105,0.11895
2.42,-0.0105,0.11895
2.44,-0.0105,0.1188
2.461,-0.01155,0.11895
2.481,-0.0117,0.1191
2.501,-0.01155,0.1194
2.52,-0.01035,0.11925
2.54,-0.01035,0.1191
2.56,-0.01035,0.11925
2.58,-0.01035,0.11895
2.6,-0.01035,0.11925
2.62,-0.01035,0.11925
2.64,-0.01035,0.1191
2.661,-0.0114,0.11925
2.681,-0.0117,0.1191
2.701,-0.01155,0.11895
2.721,-0.0114,0.1191
2.74,-0.0102,0.11895
2.761,-0.0114,0.11895
2.781,-0.0114,0.11895
2.801,-0.0102,0.1191
2.82,-0.0102,0.11925
2.84,-0.0102,0.11925
2.861,-0.0114,0.11925
2.881,-0.0102,0.1194
2.901,-0.0102,0.1191
2.92,-0.0102,0.11925
2.94,-0.0102,0.1191
2.961,-0.01125,0.1191
2.98,-0.01005,0.11925
3,-0.01005,0.11925
3.02,-0.0102,0.1194
3.041,-0.01125,0.1194
3.062,-0.01215,0.11895
3.081,-0.01125,0.1188
3.101,-0.01005,0.11925
3.121,-0.01005,0.1191
3.141,-0.01005,0.1191
3.16,-0.01005,0.1191
3.18,-0.00975,0.11925
3.201,-0.01005,0.1194
3.221,-0.01005,0.1194
3.24,-0.01005,0.1194
3.26,-0.00975,0.1194
3.281,-0.01005,0.1194
3.301,-0.01005,0.11925
3.32,-0.01005,0.11955
3.34,-0.0099,0.1194
3.361,-0.01095,0.1194
3.381,-0.01095,0.11925
3.4,-0.01005,0.11925
3.421,-0.01095,0.11925
3.44,-0.01005,0.1191
3.461,-0.01095,0.11925
3.481,-0.01095,0.1194
3.501,-0.01095,0.1197
3.521,-0.01095,0.1197
3.54,-0.01005,0.1194
3.561,-0.0108,0.11925
3.581,-0.0108,0.1194
3.601,-0.0108,0.1194
3.62,-0.01005,0.11925
3.641,-0.0108,0.11925
3.661,-0.0108,0.11925
3.681,-0.0108,0.11925
3.701,-0.01065,0.11925
3.721,-0.0108,0.11925
3.741,-0.01065,0.11925
3.761,-0.01065,0.1191
3.781,-0.01065,0.11925
3.8,-0.0099,0.11925
3.82,-0.0099,0.1194
3.84,-0.0099,0.11925
3.86,-0.0099,0.1191
3.88,-0.0099,0.11925
3.9,-0.0099,0.11925
3.921,-0.0105,0.11925
3.941,-0.01065,0.11925
3.96,-0.0099,0.11925
3.98,-0.0099,0.11895
4,-0.0099,0.1191
4.02,-0.0099,0.11895
4.04,-0.0099,0.11895
4.06,-0.0099,0.11895
4.081,-0.0105,0.1188
4.101,-0.0105,0.1188
4.121,-0.0105,0.1188
4.141,-0.0105,0.1188
4.161,-0.0099,0.11865
4.181,-0.0099,0.11895
4.2,-0.0099,0.1191
4.22,-0.00975,0.11895
4.24,-0.0099,0.1191
4.261,-0.01035,0.1191
4.281,-0.01035,0.1191
4.301,-0.01035,0.1191
4.321,-0.0099,0.11925
4.34,-0.0099,0.1191
4.36,-0.0099,0.1191
4.38,-0.00975,0.1191
4.4,-0.00975,0.1191
4.42,-0.0099,0.1191
4.44,-0.00975,0.1191
4.46,-0.00975,0.1191
4.48,-0.00975,0.1191
4.5,-0.00975,0.11895
4.52,-0.00975,0.11895
4.54,-0.00975,0.1191
4.56,-0.0099,0.1191
4.58,-0.00975,0.1191
4.601,-0.0102,0.1191
4.621,-0.0102,0.1191
4.641,-0.0102,0.11925
4.661,-0.0102,0.1191
4.681,-0.0102,0.11895
4.701,-0.0102,0.11895
4.721,-0.01005,0.11895
4.74,-0.00975,0.11895
4.761,-0.01005,0.11925
4.782,-0.01125,0.11925
4.8,-0.00975,0.11925
4.82,-0.00975,0.11925
4.84,-0.00975,0.11925
4.86,-0.00975,0.1191
4.881,-0.01005,0.1194
4.902,-0.01125,0.1191
4.921,-0.01005,0.11925
4.941,-0.01005,0.11925
4.961,-0.01005,0.1191
4.981,-0.01005,0.1191
5.001,-0.01005,0.1191
5.021,-0.01005,0.11895
5.041,-0.00975,0.1188
5.061,-0.00975,0.11895
5.081,-0.00975,0.11925
5.1,-0.00975,0.11925
5.12,-0.00975,0.1191
5.14,-0.00975,0.1191
5.16,-0.00975,0.11925
5.181,-0.01005,0.1194
5.201,-0.01005,0.11955
5.221,-0.01005,0.1194
5.241,-0.01005,0.1194
5.261,-0.01005,0.11925
5.281,-0.01005,0.1194
5.301,-0.01005,0.1194
5.321,-0.0099,0.1194
5.34,-0.00975,0.11925
5.361,-0.0099,0.11925
5.381,-0.0099,0.11925
5.401,-0.01005,0.1191
5.421,-0.0099,0.1191
5.441,-0.0099,0.11925
5.461,-0.0099,0.1191
5.48,-0.00975,0.11925
5.5,-0.00975,0.1191
5.521,-0.0099,0.11925
5.541,-0.0099,0.11925
5.561,-0.0099,0.1194
5.582,-0.01065,0.1194
5.601,-0.0099,0.11925
5.621,-0.0099,0.1194
5.641,-0.0099,0.1197
5.661,-0.0099,0.11955
5.681,-0.0099,0.1194
5.701,-0.0099,0.1194
5.721,-0.00975,0.1194
5.741,-0.00975,0.11955
5.76,-0.00975,0.1197
5.78,-0.00975,0.1194
5.8,-0.00975,0.1194
5.821,-0.0099,0.1194
5.839,-0.0096,0.1194
5.86,-0.00975,0.1194
5.88,-0.00975,0.11925
