Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
3.381,0.827,0,1,-0.0126
3.4,0.827,0,1,-0.0126
3.421,0.827,0,1,-0.0126
3.441,0.827,0,1,-0.0126
3.461,0.827,0,1,-0.0126
3.481,0.8265,0,1,-0.0126
3.501,0.8265,0,1,-0.0126
3.521,0.827,0,1,-0.0126
3.54,0.827,0,1,-0.0126
3.561,0.827,0,1,-0.0126
3.581,0.827,0,1,-0.0126
3.6,0.8265,0,1,-0.0126
3.621,0.8265,0,1,-0.0126
3.641,0.8265,0,1,-0.0126
3.66,0.8265,0,1,-0.0126
3.68,0.8265,0,1,-0.0126
3.7,0.8265,0,1,-0.0126
3.72,0.8265,0,1,-0.0126
3.74,0.8265,0,1,-0.0126
3.761,0.8265,0,1,-0.0126
3.781,0.8265,0,1,-0.0126
3.801,0.8265,0,1,-0.0126
3.821,0.8265,0,1,-0.0126
3.841,0.8265,0,1,-0.0126
3.861,0.8265,0,1,-0.0126
3.881,0.827,0,1,-0.0126
3.901,0.8265,0,1,-0.0126
3.921,0.8265,0,1,-0.0126
3.94,0.8265,0,1,-0.0126
3.961,0.8265,0,1,-0.0126
3.981,0.8265,0,1,-0.0126
4.001,0.8265,0,1,-0.0126
4.021,0.8265,0,1,-0.0126
4.041,0.8265,0,1,-0.0126
4.06,0.827,0,1,-0.0126
4.081,0.8265,0,1,-0.0126
4.101,0.8265,0,1,-0.0126
4.121,0.8265,0,1,-0.0126
4.141,0.826,0,1,-0.0126
4.161,0.8265,0,1,-0.0126
4.179,0.826,0,1,-0.0126
4.2,0.826,0,1,-0.0126
4.221,0.8265,0,1,-0.0126
4.241,0.8265,0,1,-0.0126
4.261,0.8265,0,1,-0.0126
4.281,0.8265,0,1,-0.0126
4.301,0.8265,0,1,-0.0126
4.32,0.8265,0,1,-0.0126
4.34,0.8265,0,1,-0.0126
4.361,0.8265,0,1,-0.0126
4.381,0.8265,0,1,-0.0126
4.401,0.8265,0,1,-0.0126
4.42,0.8265,0,1,-0.01245
4.44,0.827,0,1,-0.0126
4.461,0.827,0,1,-0.01245
4.481,0.8265,0,1,-0.0126
4.5,0.8265,0,1,-0.01245
4.52,0.827,0,1,-0.0126
4.541,0.8265,0,1,-0.0126
4.561,0.8265,0,1,-0.0126
4.581,0.8265,0,1,-0.01245
4.601,0.8265,0,1,-0.01245
4.621,0.8265,0,1,-0.01245
4.641,0.8265,0,1,-0.01245
4.661,0.8265,0,1,-0.01245
4.681,0.8265,0,1,-0.01245
4.7,0.8265,0,1,-0.01245
4.72,0.8265,0,1,-0.01245
4.741,0.8265,0,1,-0.01245
4.761,0.8265,0,1,-0.01245
4.78,0.8265,0,1,-0.01245
4.801,0.8265,0,1,-0.01245
4.821,0.8265,0,1,-0.01245
4.84,0.8265,0,1,-0.01245
4.861,0.8265,0,1,-0.01245
4.881,0.8265,0,1,-0.01245
4.9,0.8265,0,1,-0.01245
4.92,0.8265,0,1,-0.01245
4.941,0.827,0,1,-0.01245
4.961,0.8265,0,1,-0.01245
4.981,0.827,0,1,-0.01245
5.001,0.827,0,1,-0.01245
5.021,0.827,0,1,-0.01245
5.041,0.827,0,1,-0.01245
5.06,0.827,0,1,-0.01245
5.082,0.8265,0,1,-0.01245
5.101,0.8265,0,1,-0.01245
5.121,0.8265,0,1,-0.01245
5.141,0.8265,0,1,-0.01245
5.161,0.8265,0,1,-0.01245
5.18,0.8265,0,1,-0.01245
5.201,0.8265,0,1,-0.01245
5.221,0.8265,0,1,-0.01245
5.241,0.8265,0,1,-0.01245
5.26,0.8265,0,1,-0.01245
5.281,0.827,0,1,-0.01245
5.301,0.8265,0,1,-0.01245
5.321,0.8265,0,1,-0.01245
5.341,0.8265,0,1,-0.01245
5.361,0.8265,0,1,-0.01245
5.381,0.8265,0,1,-0.01245
5.401,0.827,0,1,-0.01245
5.421,0.827,0,1,-0.01245
5.44,0.8265,0,1,-0.01245
5.461,0.8265,0,1,-0.0123
5.481,0.8265,0,1,-0.0123
5.501,0.8265,0,1,-0.01245
5.52,0.8265,0,1,-0.0123
5.54,0.8265,0,1,-0.0123
5.561,0.8265,0,1,-0.01245
5.58,0.8265,0,1,-0.0123
5.601,0.8265,0,1,-0.0123
5.62,0.8265,0,1,-0.0123
5.641,0.8265,0,1,-0.0123
5.661,0.8265,0,1,-0.0123
5.681,0.8265,0,1,-0.0123
5.7,0.8265,0,1,-0.0123
5.721,0.8265,0,1,-0.0123
5.741,0.8265,0,1,-0.0123
5.761,0.8265,0,1,-0.0123
5.78,0.8265,0,1,-0.0123
5.8,0.8265,0,1,-0.0123
5.821,0.8265,0,1,-0.0123
5.84,0.8265,0,1,-0.0123
5.861,0.8265,0,1,-0.0123
5.881,0.8265,0,1,-0.0123
5.901,0.8265,0,1,-0.0123
5.921,0.8265,0,1,-0.0123
5.941,0.8265,0,1,-0.0123
5.961,0.8265,0,1,-0.0123
5.981,0.827,0,1,-0.0123
6.001,0.827,0,1,-0.0123
6.021,0.827,0,1,-0.0123
6.041,0.827,0,1,-0.0123
6.061,0.8265,0,1,-0.0123
6.081,0.8265,0,1,-0.0123
6.1,0.8265,0,1,-0.0123
6.12,0.8265,0,1,-0.0123
6.14,0.8265,0,1,-0.0123
6.161,0.8265,0,1,-0.0123
