Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.01,0,1,-0.02955
0.2,-0.01,0,1,-0.02955
0.4,-0.005,0,1,-0.02955
0.6,-0.005,0,1,-0.02955
0.8,-0.005,0,1,-0.02955
1,-0.005,0,1,-0.02955
1.2,-0.01,0,1,-0.02955
1.4,-0.01,0,1,-0.02955
1.6,-0.01,0,1,-0.02955
1.8,-0.005,0,1,-0.02955
2,-0.01,0,1,-0.02955
2.2,-0.01,0,1,-0.02955
2.4,-0.005,0,1,-0.02955
2.599,-0.01,0,1,-0.02955
2.801,-0.005,0,1,-0.02955
3,-0.005,0,1,-0.02955
3.2,-0.005,0,1,-0.02955
3.4,-0.01,0,1,-0.02955
3.6,-0.01,0,1,-0.02955
3.799,-0.01,0,1,-0.0294
4,-0.01,0,1,-0.02175
4.2,-0.005,0,1,-0.0237
4.4,-0.005,0,1,0.183
4.6,-0.005,0,1,-0.03615
4.8,-0.005,0,1,0.17235
5,-0.01,0,1,0.18255
5.199,-0.005,0,1,0.1884
5.4,-0.005,0,1,0.05955
5.6,-0.005,0,1,-0.01545
5.8,-0.005,0,1,0.18735
6,-0.005,0,1,0.1875
6.199,-0.005,0,1,0.1872
6.4,-0.005,0,1,0.18585
6.6,-0.01,0,1,0.1785
6.8,-0.005,0,1,0.1773
7,-0.005,0,1,0.17565
7.2,-0.005,0,1,0.1731
7.4,-0.005,0,1,0.12915
7.6,-0.005,0,1,-0.18825
7.8,-0.005,0,1,0.1443
7.999,-0.005,0,1,0.1644
8.201,-0.01,0,1,-0.02535
8.4,-0.005,0,1,-0.0144
8.602,-0.005,0,1,-0.19695
8.801,-0.005,0,1,0.13785
9.001,-0.005,0,1,-0.11445
9.2,-0.005,0,1,0.1638
9.4,-0.005,0,1,0.1449
9.6,-0.005,0,1,0.08205
9.8,-0.005,0,1,-0.1245
10,-0.005,0,1,0.0492
10.2,-0.005,0,1,0.126
10.4,-0.005,0,1,0.14445
10.6,-0.005,0,1,0.15135
10.799,-0.005,0,1,0.1527
11.001,-0.005,0,1,0.15315
11.2,-0.005,0,1,0.15375
11.4,-0.005,0,1,0.153
11.601,-0.005,0,1,0.1524
11.799,-0.01,0,1,0.15285
12,-0.005,0,1,0.15255
12.2,-0.005,0,1,0.1518
12.4,-0.005,0,1,0.15105
12.6,-0.005,0,1,0.15045
12.8,-0.005,0,1,0.1497
13,-0.005,0,1,0.14895
13.2,-0.005,0,1,0.14835
13.401,-0.005,0,1,0.1476
13.6,-0.005,0,1,0.14625
13.799,-0.005,0,1,0.14535
14,-0.005,0,1,0.1446
14.2,-0.005,0,1,0.1446
14.4,-0.005,0,1,0.1437
14.6,-0.005,0,1,0.14355
14.801,-0.005,0,1,0.1428
15,-0.005,0,1,0.14175
15.2,-0.005,0,1,0.14085
15.4,-0.005,0,1,0.1407
15.6,-0.005,0,1,0.14055
15.8,-0.005,0,1,0.1398
16,-0.005,0,1,0.13935
