Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.01695,0.839
0.02,-0.01695,0.839
0.039,-0.01695,0.839
0.061,-0.0165,0.839
0.081,-0.0165,0.839
0.1,-0.01695,0.839
0.121,-0.0165,0.839
0.14,-0.01695,0.839
0.161,-0.0165,0.839
0.18,-0.01695,0.839
0.201,-0.0165,0.839
0.22,-0.01695,0.839
0.241,-0.0165,0.839
0.26,-0.0171,0.839
0.28,-0.01695,0.839
0.3,-0.01695,0.839
0.32,-0.01695,0.8385
0.34,-0.01695,0.839
0.36,-0.0171,0.839
0.381,-0.01695,0.8385
0.4,-0.0171,0.839
0.42,-0.01695,0.839
0.441,-0.01665,0.839
0.461,-0.0165,0.839
0.481,-0.01665,0.839
0.501,-0.01665,0.839
0.521,-0.0165,0.839
0.541,-0.01665,0.839
0.561,-0.01665,0.839
0.58,-0.01695,0.839
0.6,-0.01695,0.839
0.621,-0.01665,0.839
0.64,-0.01695,0.8385
0.66,-0.01695,0.839
0.681,-0.01665,0.839
0.701,-0.0168,0.839
0.721,-0.01665,0.839
0.741,-0.01665,0.839
0.761,-0.01695,0.839
0.781,-0.01695,0.8395
0.801,-0.01695,0.839
0.819,-0.01755,0.839
0.841,-0.01695,0.839
0.861,-0.01695,0.839
0.881,-0.01695,0.839
0.9,-0.0171,0.839
0.921,-0.01665,0.8385
0.94,-0.01695,0.8385
0.961,-0.01695,0.839
0.98,-0.0171,0.839
1.001,-0.01695,0.8385
1.021,-0.01695,0.839
1.043,-0.0165,0.839
1.061,-0.0168,0.8385
1.081,-0.0168,0.839
1.1,-0.01695,0.839
1.121,-0.01665,0.8385
1.14,-0.0171,0.839
1.161,-0.01695,0.8385
1.18,-0.0171,0.8385
1.201,-0.01695,0.8385
1.22,-0.01695,0.8385
1.241,-0.0168,0.8385
1.261,-0.0168,0.838
1.281,-0.0168,0.8385
1.3,-0.01725,0.8385
1.32,-0.01695,0.8385
1.341,-0.0168,0.8385
1.361,-0.0168,0.8385
1.381,-0.0168,0.8385
1.401,-0.01695,0.839
1.421,-0.01695,0.839
1.441,-0.0168,0.839
1.461,-0.01695,0.839
1.481,-0.0168,0.8385
1.501,-0.01695,0.8385
1.521,-0.01695,0.8385
1.541,-0.0168,0.8385
1.561,-0.01695,0.8385
1.581,-0.01695,0.8385
1.601,-0.01695,0.8385
1.621,-0.01695,0.8385
1.641,-0.01695,0.839
1.661,-0.01695,0.839
1.681,-0.01695,0.8385
1.701,-0.01695,0.839
1.72,-0.01695,0.839
1.741,-0.01695,0.839
1.761,-0.01695,0.839
1.78,-0.01695,0.839
1.801,-0.01695,0.839
1.82,-0.0171,0.839
1.84,-0.01695,0.839
1.861,-0.0171,0.839
1.881,-0.0171,0.839
1.9,-0.0174,0.839
1.921,-0.0171,0.839
1.941,-0.0171,0.839
1.961,-0.0171,0.8385
1.981,-0.0171,0.839
2.001,-0.0171,0.8385
2.02,-0.01755,0.839
2.041,-0.0171,0.8385
2.06,-0.01695,0.8385
2.079,-0.01755,0.8385
2.101,-0.0171,0.8385
2.121,-0.0171,0.8385
2.141,-0.0171,0.8385
2.16,-0.0171,0.8385
2.181,-0.01695,0.8385
2.2,-0.0171,0.8385
2.221,-0.01695,0.8385
2.241,-0.01695,0.839
2.26,-0.01725,0.839
2.282,-0.01695,0.839
2.301,-0.0171,0.839
2.321,-0.01725,0.839
2.341,-0.0171,0.839
2.361,-0.0171,0.839
2.381,-0.0171,0.8385
2.401,-0.01695,0.8385
2.421,-0.01695,0.8385
2.441,-0.01695,0.8385
2.461,-0.0171,0.8385
2.48,-0.0171,0.8385
2.501,-0.01695,0.8385
2.521,-0.01695,0.8385
2.54,-0.0171,0.8385
2.561,-0.0171,0.8385
2.581,-0.01695,0.8385
2.601,-0.01695,0.8385
2.62,-0.0171,0.8385
2.641,-0.0171,0.8385
2.66,-0.0171,0.8385
2.681,-0.01695,0.8385
2.701,-0.0171,0.8385
2.72,-0.0171,0.8385
2.741,-0.0171,0.8385
2.761,-0.0171,0.839
2.781,-0.0171,0.839
2.801,-0.0171,0.8385
2.819,-0.01785,0.8385
2.841,-0.01725,0.8385
2.861,-0.0171,0.8385
2.881,-0.0171,0.8385
2.901,-0.01725,0.8385
2.921,-0.0171,0.8385
2.941,-0.01695,0.8385
2.961,-0.0171,0.8385
2.98,-0.01725,0.8385
3.001,-0.01725,0.8385
3.021,-0.01725,0.8385
3.041,-0.01725,0.8385
3.061,-0.01725,0.8385
3.081,-0.01725,0.838
3.1,-0.01725,0.838
3.121,-0.01695,0.838
3.14,-0.0174,0.8385
3.16,-0.01725,0.8385
3.181,-0.01695,0.8385
3.201,-0.01695,0.8385
3.22,-0.0174,0.8385
3.241,-0.0174,0.8385
3.261,-0.0174,0.8385
3.281,-0.0174,0.8385
3.301,-0.0174,0.8385
3.321,-0.0174,0.8385
3.341,-0.0174,0.8385
3.361,-0.01755,0.8385
3.381,-0.01755,0.8385
3.401,-0.0174,0.8385
3.42,-0.0174,0.8385
3.441,-0.0171,0.8385
3.46,-0.01755,0.8385
3.481,-0.01695,0.8385
3.5,-0.01755,0.839
3.521,-0.0171,0.8385
3.541,-0.0171,0.8385
3.561,-0.0171,0.8385
3.581,-0.0171,0.8385
3.601,-0.01755,0.839
3.621,-0.01755,0.839
3.641,-0.01755,0.8385
3.661,-0.0171,0.8385
3.681,-0.0171,0.8385
3.701,-0.0171,0.8385
3.721,-0.0171,0.8385
3.74,-0.01755,0.8385
3.761,-0.01755,0.8385
3.781,-0.01755,0.8385
3.801,-0.01755,0.8385
3.821,-0.01755,0.839
3.841,-0.01755,0.839
3.861,-0.01755,0.839
3.881,-0.01755,0.839
3.9,-0.018,0.839
3.921,-0.01755,0.839
3.941,-0.01755,0.839
3.961,-0.01755,0.839
3.981,-0.01755,0.839
4.001,-0.01755,0.8385
4.021,-0.01755,0.8385
4.041,-0.01755,0.839
4.061,-0.01755,0.839
4.081,-0.01755,0.839
4.1,-0.01755,0.839
4.12,-0.01755,0.839
4.141,-0.0171,0.839
4.161,-0.0171,0.839
4.181,-0.0171,0.839
4.201,-0.0171,0.839
4.219,-0.018,0.839
4.241,-0.0171,0.839
4.26,-0.0177,0.839
4.281,-0.0171,0.839
4.301,-0.0171,0.839
4.321,-0.0177,0.839
4.341,-0.0177,0.839
4.361,-0.0177,0.839
4.381,-0.0177,0.839
4.4,-0.0177,0.839
4.421,-0.0171,0.839
4.441,-0.0171,0.839
4.461,-0.01725,0.839
4.481,-0.0171,0.839
4.5,-0.0177,0.839
4.521,-0.0171,0.839
4.541,-0.01725,0.839
4.561,-0.01725,0.839
4.581,-0.01725,0.839
4.601,-0.01725,0.839
4.621,-0.01725,0.839
4.64,-0.0177,0.8385
4.661,-0.01725,0.8385
4.681,-0.0174,0.8385
4.701,-0.0174,0.8385
4.72,-0.0177,0.8385
4.741,-0.0171,0.8385
4.761,-0.0174,0.8385
4.781,-0.0174,0.8385
4.8,-0.0177,0.839
4.821,-0.0174,0.839
4.841,-0.0174,0.8385
4.861,-0.01755,0.8385
4.881,-0.01755,0.839
4.899,-0.01755,0.839
4.921,-0.01755,0.839
4.941,-0.01755,0.839
4.961,-0.01755,0.8385
4.981,-0.01755,0.839
5,-0.01785,0.8385
5.021,-0.01785,0.8385
5.041,-0.01785,0.8385
5.06,-0.01785,0.839
5.081,-0.01755,0.839
5.101,-0.0174,0.839
5.121,-0.018,0.839
5.141,-0.01785,0.839
5.161,-0.018,0.839
5.181,-0.018,0.839
5.201,-0.018,0.8385
5.22,-0.018,0.8385
5.241,-0.01755,0.8385
5.261,-0.018,0.8385
5.281,-0.018,0.838
5.301,-0.018,0.8385
5.32,-0.018,0.8385
5.34,-0.018,0.8385
5.361,-0.0174,0.839
5.381,-0.0174,0.8385
5.4,-0.018,0.839
5.421,-0.01755,0.839
5.441,-0.01755,0.8385
5.461,-0.0174,0.8385
5.481,-0.018,0.839
5.501,-0.018,0.8385
5.521,-0.018,0.8385
5.541,-0.018,0.8385
5.561,-0.018,0.8385
5.581,-0.018,0.8385
5.601,-0.018,0.8385
5.621,-0.018,0.8385
5.64,-0.0171,0.839
5.661,-0.018,0.839
5.681,-0.018,0.839
5.701,-0.01785,0.839
5.721,-0.01785,0.839
5.741,-0.0177,0.839
5.761,-0.0177,0.839
5.781,-0.0177,0.839
5.801,-0.0177,0.839
5.82,-0.01785,0.839
5.841,-0.0177,0.839
5.863,-0.0171,0.839
5.881,-0.0177,0.839
5.901,-0.01785,0.839
5.921,-0.0177,0.839
5.941,-0.0177,0.839
5.961,-0.01785,0.839
5.981,-0.0177,0.839
6.001,-0.01785,0.839
6.021,-0.0177,0.839
6.041,-0.01785,0.839
6.061,-0.0177,0.839
6.081,-0.0177,0.8395
6.101,-0.0177,0.839
6.121,-0.0177,0.839
6.141,-0.0177,0.8395
