Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,-0.00045,0.1383
0.02,-0.00045,0.13815
0.04,-0.0006,0.13845
0.061,-0.00075,0.13845
0.08,-0.0006,0.13845
0.1,-0.0006,0.1386
0.12,-0.0006,0.13845
0.141,-0.00075,0.13845
0.16,-0.0006,0.1383
0.181,-0.0006,0.1383
0.2,-0.0006,0.13845
0.22,-0.00045,0.1383
0.24,-0.00045,0.13815
0.261,-0.0006,0.1383
0.281,-0.0006,0.13845
0.3,-0.0006,0.13845
0.321,-0.0006,0.13845
0.34,-0.0006,0.13845
0.361,-0.00075,0.1383
0.381,-0.00075,0.1383
0.4,-0.0006,0.1383
0.421,-0.0006,0.138
0.44,-0.0006,0.138
0.461,-0.00075,0.1383
0.481,-0.00075,0.1383
0.501,-0.00075,0.13845
0.521,-0.00075,0.1386
0.541,-0.00075,0.1386
0.56,-0.0006,0.1389
0.581,-0.00075,0.13875
0.6,-0.0006,0.1386
0.621,-0.00075,0.1386
0.641,-0.00075,0.13845
0.661,-0.00075,0.13845
0.681,-0.00075,0.1386
0.701,-0.00075,0.1386
0.72,-0.0006,0.1386
0.741,-0.00075,0.13875
0.761,-0.00075,0.13875
0.78,-0.0006,0.1389
0.801,-0.00075,0.1389
0.821,-0.00075,0.1389
0.841,-0.00075,0.13875
0.861,-0.00075,0.13875
0.881,-0.00075,0.13875
0.901,-0.00075,0.13875
0.921,-0.0006,0.1389
0.941,-0.00075,0.1386
0.961,-0.00075,0.13845
0.981,-0.00075,0.1386
1.001,-0.00075,0.13875
1.021,-0.0006,0.13875
1.041,-0.0006,0.13875
1.061,-0.0006,0.13875
1.081,-0.0006,0.13875
1.1,-0.00045,0.1386
1.121,-0.0006,0.13845
1.141,-0.0006,0.1386
1.161,-0.0006,0.13845
1.18,-0.00045,0.13875
1.2,-0.0006,0.1389
1.22,-0.0006,0.1389
1.24,-0.0006,0.13905
1.26,-0.0006,0.13905
1.281,-0.00075,0.13905
1.301,-0.00075,0.1389
1.321,-0.00075,0.1389
1.341,-0.00075,0.1389
1.361,-0.00075,0.13875
1.381,-0.00075,0.13875
1.401,-0.00075,0.1386
1.421,-0.00075,0.13875
1.441,-0.0006,0.13875
1.461,-0.0006,0.13875
1.481,-0.00075,0.13845
1.501,-0.0006,0.1383
1.52,-0.00075,0.13845
1.54,-0.00075,0.1383
1.56,-0.00075,0.1383
1.58,-0.00075,0.13845
1.601,-0.00075,0.13845
1.621,-0.00075,0.1386
1.641,-0.0009,0.13875
1.661,-0.00075,0.13845
1.681,-0.00075,0.13845
1.701,-0.00075,0.13845
1.721,-0.00075,0.13845
1.741,-0.00075,0.1386
1.761,-0.00075,0.13845
1.78,-0.00075,0.13845
1.801,-0.00075,0.13845
1.821,-0.00075,0.1383
1.841,-0.00075,0.1383
1.86,-0.00075,0.1383
1.88,-0.00075,0.1383
1.901,-0.0009,0.1383
1.921,-0.0009,0.13815
1.941,-0.0009,0.13815
1.961,-0.0009,0.13815
1.981,-0.00075,0.1383
2,-0.00075,0.13845
2.02,-0.00075,0.1383
2.042,-0.00105,0.1386
2.06,-0.0009,0.13845
2.08,-0.0009,0.13845
2.101,-0.0009,0.13845
2.12,-0.0009,0.1383
2.14,-0.0009,0.13815
2.16,-0.0009,0.13845
2.18,-0.0009,0.13845
2.2,-0.0009,0.1386
2.221,-0.0009,0.13845
2.241,-0.0009,0.1386
2.261,-0.0009,0.1386
2.281,-0.0009,0.13845
2.3,-0.0009,0.13845
2.321,-0.0009,0.13845
2.341,-0.00105,0.13845
2.361,-0.00105,0.1386
2.381,-0.0009,0.13845
2.401,-0.00105,0.1383
2.421,-0.00105,0.13845
2.441,-0.00105,0.13845
2.461,-0.00105,0.1386
2.481,-0.00105,0.1386
2.501,-0.00105,0.13845
2.521,-0.0009,0.1386
2.541,-0.0009,0.13875
2.561,-0.00105,0.13845
2.581,-0.00105,0.13845
2.601,-0.0009,0.1386
2.621,-0.0009,0.13845
2.64,-0.0009,0.13845
2.661,-0.00105,0.1386
2.681,-0.0009,0.13845
2.701,-0.0009,0.1383
2.721,-0.0009,0.13815
2.74,-0.0009,0.13815
2.761,-0.00105,0.138
2.781,-0.00105,0.138
2.801,-0.0009,0.13815
2.82,-0.0009,0.138
2.841,-0.00105,0.13815
2.861,-0.00105,0.1383
2.881,-0.00105,0.1383
2.9,-0.0009,0.1383
