Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.0035,0,1,0.1911
0.02,-0.0035,0,1,0.1911
0.04,-0.0035,0,1,0.1911
0.061,-0.0035,0,1,0.1911
0.081,-0.003,0,1,0.1911
0.101,-0.003,0,1,0.1911
0.121,-0.0035,0,1,0.1911
0.141,-0.003,0,1,0.1911
0.16,-0.003,0,1,0.1911
0.181,-0.003,0,1,0.1911
0.201,-0.003,0,1,0.1911
0.22,-0.003,0,1,0.1911
0.241,-0.0035,0,1,0.1911
0.261,-0.0035,0,1,0.1911
0.281,-0.003,0,1,0.1911
0.301,-0.0035,0,1,0.1911
0.32,-0.0035,0,1,0.1911
0.341,-0.0035,0,1,0.1911
0.359,-0.0035,0,1,0.1911
0.38,-0.0035,0,1,0.1911
0.4,-0.0035,0,1,0.1911
0.421,-0.0035,0,1,0.1911
0.44,-0.003,0,1,0.1911
0.461,-0.0035,0,1,0.1911
0.481,-0.003,0,1,0.1911
0.5,-0.003,0,1,0.1911
0.521,-0.003,0,1,0.1911
0.541,-0.003,0,1,0.1911
0.56,-0.003,0,1,0.1911
0.581,-0.003,0,1,0.1911
0.601,-0.003,0,1,0.1911
0.621,-0.0035,0,1,0.1911
0.641,-0.0035,0,1,0.1911
0.661,-0.0035,0,1,0.1911
0.681,-0.0035,0,1,0.1911
0.701,-0.0035,0,1,0.1911
0.721,-0.0035,0,1,0.1911
0.741,-0.003,0,1,0.1911
0.76,-0.003,0,1,0.1911
0.781,-0.0035,0,1,0.1911
0.801,-0.0035,0,1,0.1911
0.82,-0.0035,0,1,0.1911
0.84,-0.0035,0,1,0.1911
0.861,-0.0035,0,1,0.1911
0.88,-0.0035,0,1,0.1911
0.901,-0.0035,0,1,0.1911
0.921,-0.0035,0,1,0.1911
0.941,-0.0035,0,1,0.1911
0.96,-0.0035,0,1,0.1911
0.981,-0.0035,0,1,0.1911
1,-0.0035,0,1,0.1911
1.021,-0.003,0,1,0.1911
1.041,-0.003,0,1,0.1911
1.061,-0.003,0,1,0.1911
1.08,-0.0035,0,1,0.1911
1.101,-0.0035,0,1,0.1911
1.121,-0.0035,0,1,0.1911
1.141,-0.0035,0,1,0.1911
1.161,-0.0035,0,1,0.1911
1.181,-0.0035,0,1,0.1911
1.201,-0.0035,0,1,0.1911
1.221,-0.0035,0,1,0.1911
1.24,-0.0035,0,1,0.1911
1.261,-0.0035,0,1,0.1911
1.281,-0.004,0,1,0.1911
1.301,-0.0035,0,1,0.1911
1.321,-0.0035,0,1,0.1911
1.341,-0.0035,0,1,0.1911
1.361,-0.0035,0,1,0.1911
1.381,-0.004,0,1,0.1911
1.401,-0.004,0,1,0.1911
1.421,-0.0035,0,1,0.1911
1.441,-0.004,0,1,0.1911
1.461,-0.004,0,1,0.1911
1.481,-0.004,0,1,0.1911
1.501,-0.004,0,1,0.1911
1.521,-0.0035,0,1,0.1911
1.541,-0.0035,0,1,0.1911
1.561,-0.0035,0,1,0.1911
1.58,-0.0035,0,1,0.1911
1.601,-0.004,0,1,0.1911
1.621,-0.004,0,1,0.1911
1.64,-0.0035,0,1,0.1911
1.661,-0.0035,0,1,0.1911
1.681,-0.0035,0,1,0.1911
1.701,-0.0035,0,1,0.1911
1.72,-0.0035,0,1,0.1911
1.741,-0.0035,0,1,0.1911
1.761,-0.0035,0,1,0.1911
1.781,-0.0035,0,1,0.1911
1.8,-0.0035,0,1,0.1911
1.821,-0.0035,0,1,0.1911
