Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.8085,0,1,-0.0021
0.019,0.8085,0,1,-0.0021
0.04,0.8085,0,1,-0.0021
0.06,0.8085,0,1,-0.0021
0.08,0.8085,0,1,-0.0021
0.099,0.8085,0,1,-0.0021
0.12,0.8085,0,1,-0.0021
0.14,0.808,0,1,-0.0021
0.16,0.808,0,1,-0.0021
0.179,0.808,0,1,-0.0021
0.2,0.808,0,1,-0.0021
0.22,0.8085,0,1,-0.0021
0.241,0.8085,0,1,-0.0021
0.262,0.8085,0,1,-0.0021
0.28,0.8085,0,1,-0.0021
0.3,0.8085,0,1,-0.0021
0.32,0.8085,0,1,-0.0021
0.341,0.8085,0,1,-0.0021
0.36,0.8085,0,1,-0.0021
0.381,0.8085,0,1,-0.0021
0.4,0.8085,0,1,-0.0021
0.42,0.8085,0,1,-0.0021
0.44,0.8085,0,1,-0.0021
0.461,0.8085,0,1,-0.0021
0.479,0.808,0,1,-0.0021
0.5,0.808,0,1,-0.0021
0.521,0.808,0,1,-0.0021
0.541,0.808,0,1,-0.0021
0.56,0.808,0,1,-0.0021
0.58,0.8085,0,1,-0.0021
0.6,0.808,0,1,-0.0021
0.619,0.808,0,1,-0.0021
0.64,0.8085,0,1,-0.0021
0.661,0.8085,0,1,-0.0021
0.681,0.808,0,1,-0.0021
0.701,0.8085,0,1,-0.0021
0.72,0.8085,0,1,-0.0021
0.74,0.8085,0,1,-0.0021
0.76,0.8085,0,1,-0.0021
0.78,0.808,0,1,-0.0021
0.8,0.8085,0,1,-0.0021
0.82,0.8085,0,1,-0.0021
0.84,0.8085,0,1,-0.0021
0.86,0.808,0,1,-0.0021
0.88,0.8085,0,1,-0.0021
0.9,0.808,0,1,-0.0021
0.921,0.808,0,1,-0.0021
0.941,0.808,0,1,-0.0021
0.96,0.808,0,1,-0.0021
0.98,0.808,0,1,-0.0021
1,0.8085,0,1,-0.0021
1.02,0.808,0,1,-0.0021
1.04,0.808,0,1,-0.0021
1.06,0.808,0,1,-0.0021
1.08,0.808,0,1,-0.0021
1.1,0.8085,0,1,-0.0021
1.12,0.8085,0,1,-0.0021
1.14,0.8085,0,1,-0.0021
1.16,0.8085,0,1,-0.0021
1.179,0.8085,0,1,-0.0021
1.199,0.8085,0,1,-0.0021
1.22,0.8085,0,1,-0.0021
1.24,0.8085,0,1,-0.0021
1.26,0.8085,0,1,-0.0021
1.28,0.8085,0,1,-0.0021
1.3,0.8085,0,1,-0.0021
1.32,0.8085,0,1,-0.0021
1.34,0.8085,0,1,-0.0021
1.361,0.8085,0,1,-0.0021
1.381,0.8085,0,1,-0.0021
1.401,0.8085,0,1,-0.0021
1.42,0.8085,0,1,-0.0021
1.44,0.809,0,1,-0.0021
1.46,0.809,0,1,-0.0021
1.48,0.809,0,1,-0.0021
1.501,0.809,0,1,-0.0021
1.521,0.8085,0,1,-0.0021
1.54,0.8085,0,1,-0.0021
1.561,0.8085,0,1,-0.0021
1.58,0.8085,0,1,-0.0021
1.6,0.8085,0,1,-0.0021
1.62,0.8085,0,1,-0.0021
1.639,0.8085,0,1,-0.0021
1.659,0.8085,0,1,-0.0021
1.68,0.808,0,1,-0.0021
1.7,0.808,0,1,-0.0021
1.721,0.808,0,1,-0.0021
1.74,0.808,0,1,-0.0021
1.76,0.808,0,1,-0.0021
1.78,0.808,0,1,-0.0021
1.8,0.808,0,1,-0.0021
1.82,0.8085,0,1,-0.0021
1.84,0.8085,0,1,-0.0021
1.86,0.8085,0,1,-0.0021
1.88,0.8085,0,1,-0.0021
1.9,0.808,0,1,-0.0021
1.921,0.808,0,1,-0.0021
1.94,0.8085,0,1,-0.0021
1.961,0.8085,0,1,-0.0021
1.98,0.8085,0,1,-0.0021
2,0.8085,0,1,-0.0021
2.02,0.8085,0,1,-0.0021
2.04,0.8085,0,1,-0.0021
2.06,0.808,0,1,-0.0021
2.08,0.808,0,1,-0.0021
2.1,0.8085,0,1,-0.0021
2.12,0.808,0,1,-0.0021
2.14,0.808,0,1,-0.0021
2.159,0.808,0,1,-0.0021
2.18,0.808,0,1,-0.0021
2.2,0.8085,0,1,-0.0021
2.22,0.8085,0,1,-0.0021
2.24,0.8085,0,1,-0.0021
2.26,0.808,0,1,-0.0021
2.283,0.808,0,1,-0.0021
2.3,0.808,0,1,-0.0021
2.32,0.8085,0,1,-0.0021
2.34,0.8085,0,1,-0.0021
2.36,0.8085,0,1,-0.0021
2.38,0.8085,0,1,-0.0021
2.4,0.8085,0,1,-0.0021
2.42,0.8085,0,1,-0.0021
2.44,0.8085,0,1,-0.0021
2.46,0.8085,0,1,-0.0021
2.481,0.8085,0,1,-0.0021
2.501,0.8085,0,1,-0.0021
2.521,0.8085,0,1,-0.0021
2.54,0.8085,0,1,-0.0021
2.56,0.808,0,1,-0.0021
2.58,0.8085,0,1,-0.0021
2.599,0.8085,0,1,-0.0021
2.621,0.8085,0,1,-0.0021
2.64,0.8085,0,1,-0.0021
2.66,0.8085,0,1,-0.0021
2.68,0.8085,0,1,-0.0021
2.7,0.808,0,1,-0.0021
2.72,0.8085,0,1,-0.0021
2.74,0.8085,0,1,-0.0021
2.76,0.8085,0,1,-0.0021
2.78,0.808,0,1,-0.0021
2.8,0.808,0,1,-0.0021
2.82,0.8085,0,1,-0.0021
2.84,0.808,0,1,-0.0021
2.86,0.8085,0,1,-0.0021
2.881,0.8085,0,1,-0.0021
2.9,0.8085,0,1,-0.0021
