Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.005,0,1,-0.00075
0.199,-0.005,0,1,-0.00075
0.4,-0.005,0,1,-0.00075
0.6,-0.005,0,1,-0.00075
0.8,-0.005,0,1,-0.00075
1.001,-0.005,0,1,-0.00075
1.2,-0.005,0,1,-0.00075
1.399,-0.01,0,1,-0.00075
1.6,-0.005,0,1,-0.00075
1.8,-0.005,0,1,-0.00075
2,-0.005,0,1,-0.00075
2.2,-0.005,0,1,-0.00075
2.399,-0.005,0,1,-0.00075
2.599,-0.005,0,1,-0.00075
2.8,-0.005,0,1,-0.00075
3,-0.005,0,1,-0.00075
3.2,-0.005,0,1,-0.00075
3.4,-0.005,0,1,-0.00075
3.599,-0.005,0,1,-0.00075
3.8,-0.005,0,1,-0.00075
3.999,-0.005,0,1,-0.00075
4.2,-0.005,0,1,-0.00075
4.399,-0.005,0,1,-0.0006
4.599,-0.005,0,1,-0.00075
4.8,-0.005,0,1,-0.00075
4.999,-0.005,0,1,-0.0009
5.2,-0.01,0,1,-0.0009
5.401,-0.005,0,1,-0.00105
5.6,-0.005,0,1,-0.00105
5.8,-0.005,0,1,-0.00105
5.999,-0.01,0,1,-0.0012
6.2,-0.005,0,1,-0.0012
6.4,-0.005,0,1,-0.00135
6.6,-0.01,0,1,-0.00135
6.801,-0.005,0,1,-0.00135
7,-0.005,0,1,-0.0015
7.201,-0.005,0,1,-0.0015
7.399,-0.005,0,1,-0.0015
7.6,-0.005,0,1,-0.0015
7.801,-0.005,0,1,-0.0015
8,-0.01,0,1,-0.0015
8.199,-0.005,0,1,-0.0015
8.4,-0.005,0,1,-0.0015
8.599,-0.01,0,1,-0.0015
8.8,-0.01,0,1,-0.0015
9,-0.005,0,1,-0.0015
9.2,-0.005,0,1,-0.0015
9.401,-0.005,0,1,-0.00165
9.6,-0.01,0,1,-0.00165
9.799,-0.01,0,1,-0.00165
9.999,-0.01,0,1,-0.00165
10.2,-0.005,0,1,-0.00165
10.399,-0.005,0,1,-0.00165
10.6,-0.01,0,1,-0.00165
10.801,-0.005,0,1,-0.00165
10.999,-0.005,0,1,-0.0018
11.2,-0.01,0,1,-0.0018
11.4,-0.01,0,1,-0.0018
11.6,-0.005,0,1,-0.0018
11.799,-0.005,0,1,-0.00195
12,-0.005,0,1,-0.00195
12.2,-0.005,0,1,-0.00195
12.4,-0.01,0,1,-0.00195
12.601,-0.005,0,1,-0.00195
12.8,-0.005,0,1,-0.00195
13,-0.01,0,1,-0.00195
13.201,-0.01,0,1,-0.00195
13.4,-0.005,0,1,-0.00195
13.6,-0.005,0,1,-0.00195
13.8,-0.005,0,1,-0.00195
14,-0.005,0,1,-0.00195
14.2,-0.01,0,1,-0.00195
14.401,-0.005,0,1,-0.00195
14.599,-0.01,0,1,-0.00195
14.799,-0.005,0,1,-0.00195
14.999,-0.005,0,1,-0.00195
15.2,-0.01,0,1,-0.00195
15.401,-0.01,0,1,-0.00195
15.6,-0.005,0,1,-0.00195
15.8,-0.01,0,1,-0.00195
16,-0.005,0,1,-0.0021
16.2,-0.005,0,1,-0.0021
16.4,-0.005,0,1,-0.0021
16.6,-0.01,0,1,-0.0021
