Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.8135,0,1,-0.0051
0.02,0.8135,0,1,-0.0051
0.04,0.8135,0,1,-0.0051
0.061,0.8135,0,1,-0.0051
0.081,0.8135,0,1,-0.0051
0.101,0.8135,0,1,-0.0051
0.121,0.8135,0,1,-0.0051
0.141,0.813,0,1,-0.0051
0.159,0.8135,0,1,-0.0051
0.18,0.8135,0,1,-0.0051
0.2,0.8135,0,1,-0.0051
0.22,0.8135,0,1,-0.0051
0.24,0.813,0,1,-0.0051
0.261,0.813,0,1,-0.0051
0.281,0.8135,0,1,-0.0051
0.301,0.8135,0,1,-0.0051
0.321,0.8135,0,1,-0.0051
0.341,0.813,0,1,-0.0051
0.361,0.813,0,1,-0.0051
0.38,0.813,0,1,-0.0051
0.401,0.813,0,1,-0.0051
0.42,0.8135,0,1,-0.0051
0.441,0.8135,0,1,-0.0051
0.461,0.813,0,1,-0.0051
0.481,0.813,0,1,-0.0051
0.501,0.813,0,1,-0.0051
0.521,0.813,0,1,-0.0051
0.541,0.813,0,1,-0.0051
0.561,0.813,0,1,-0.0051
0.581,0.813,0,1,-0.0051
0.601,0.813,0,1,-0.0051
0.621,0.813,0,1,-0.0051
0.641,0.813,0,1,-0.0051
0.661,0.8135,0,1,-0.0051
0.681,0.8135,0,1,-0.0051
0.701,0.813,0,1,-0.0051
0.721,0.813,0,1,-0.0051
0.741,0.813,0,1,-0.0051
0.761,0.813,0,1,-0.0051
0.781,0.813,0,1,-0.0051
0.803,0.813,0,1,-0.0051
0.82,0.813,0,1,-0.0051
0.84,0.813,0,1,-0.0051
0.86,0.813,0,1,-0.0051
0.88,0.813,0,1,-0.0051
0.9,0.813,0,1,-0.0051
0.919,0.8135,0,1,-0.0051
0.941,0.813,0,1,-0.0051
0.961,0.8135,0,1,-0.0051
0.981,0.8135,0,1,-0.0051
1.001,0.8135,0,1,-0.0051
1.021,0.8135,0,1,-0.0051
1.041,0.8135,0,1,-0.0051
1.061,0.8135,0,1,-0.0051
1.081,0.813,0,1,-0.0051
1.101,0.813,0,1,-0.0051
1.121,0.813,0,1,-0.0051
1.141,0.813,0,1,-0.0051
1.161,0.813,0,1,-0.0051
1.181,0.813,0,1,-0.0051
1.201,0.813,0,1,-0.0051
1.22,0.813,0,1,-0.0051
1.241,0.813,0,1,-0.0051
1.261,0.813,0,1,-0.0051
1.281,0.813,0,1,-0.0051
