Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.005,0,1,0.00045
0.201,-0.005,0,1,0.00045
0.4,-0.005,0,1,0.00045
0.6,-0.01,0,1,0.00045
0.801,-0.01,0,1,0.00045
1.001,-0.01,0,1,0.00045
1.2,-0.01,0,1,0.00045
1.4,-0.01,0,1,0.0003
1.601,-0.005,0,1,0.00015
1.801,-0.005,0,1,0
2,-0.005,0,1,0
2.201,-0.005,0,1,0
2.401,-0.005,0,1,-0.00015
2.6,-0.005,0,1,-0.0003
2.8,-0.01,0,1,-0.0003
3,-0.01,0,1,-0.00045
3.201,-0.005,0,1,-0.0006
3.4,-0.005,0,1,-0.0006
3.6,-0.005,0,1,-0.0006
3.801,-0.005,0,1,-0.0006
4,-0.005,0,1,-0.0006
4.2,-0.005,0,1,-0.0006
4.4,-0.005,0,1,-0.0006
4.6,-0.005,0,1,-0.0006
4.801,-0.005,0,1,-0.0006
5,-0.005,0,1,-0.0006
5.201,-0.005,0,1,-0.0006
5.4,-0.005,0,1,-0.0006
5.6,-0.005,0,1,-0.0006
5.8,-0.005,0,1,-0.0006
6,-0.005,0,1,-0.0006
6.201,-0.005,0,1,-0.0006
6.4,-0.005,0,1,-0.0006
6.6,-0.005,0,1,-0.00075
6.8,-0.005,0,1,-0.00075
7,-0.01,0,1,-0.00075
7.2,-0.01,0,1,-0.00075
7.401,-0.005,0,1,-0.00075
7.6,-0.005,0,1,-0.00075
7.8,-0.01,0,1,-0.00075
8,-0.005,0,1,-0.0009
8.201,-0.005,0,1,-0.0009
8.4,-0.005,0,1,-0.0009
8.601,-0.005,0,1,-0.0009
8.8,-0.005,0,1,-0.0009
9,-0.01,0,1,-0.0009
9.2,-0.005,0,1,-0.0009
9.4,-0.005,0,1,-0.0009
9.6,-0.005,0,1,-0.0009
9.8,-0.005,0,1,-0.0009
10,-0.005,0,1,-0.00105
10.201,-0.005,0,1,-0.00105
10.4,-0.005,0,1,-0.00105
10.6,-0.005,0,1,-0.00105
10.8,-0.005,0,1,-0.00105
11.001,-0.005,0,1,-0.00105
11.201,-0.01,0,1,-0.0012
11.4,-0.005,0,1,-0.0012
11.6,-0.01,0,1,-0.0012
11.8,-0.005,0,1,-0.0012
12,-0.005,0,1,-0.0012
12.2,-0.01,0,1,-0.0012
12.4,-0.005,0,1,-0.0012
12.601,-0.005,0,1,-0.0012
12.801,-0.005,0,1,-0.0012
13,-0.005,0,1,-0.00135
13.2,-0.005,0,1,-0.00135
13.4,-0.005,0,1,-0.00135
13.6,-0.005,0,1,-0.00135
13.801,-0.005,0,1,-0.00135
14,-0.005,0,1,-0.00135
14.2,-0.005,0,1,-0.00135
14.401,-0.005,0,1,-0.00135
14.6,-0.005,0,1,-0.00135
14.801,-0.005,0,1,-0.00135
