Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.812,0,1,-0.0045
0.02,0.8125,0,1,-0.0045
0.041,0.8125,0,1,-0.0045
0.061,0.8125,0,1,-0.0045
0.081,0.812,0,1,-0.0045
0.1,0.812,0,1,-0.0045
0.12,0.812,0,1,-0.0045
0.14,0.812,0,1,-0.0045
0.16,0.812,0,1,-0.0045
0.181,0.812,0,1,-0.0045
0.201,0.8125,0,1,-0.0045
0.22,0.812,0,1,-0.0045
0.241,0.812,0,1,-0.0045
0.261,0.812,0,1,-0.0045
0.281,0.8125,0,1,-0.0045
0.3,0.8125,0,1,-0.0045
0.32,0.8125,0,1,-0.0045
0.339,0.812,0,1,-0.0045
0.36,0.812,0,1,-0.0045
0.38,0.812,0,1,-0.0045
0.4,0.8115,0,1,-0.0045
0.42,0.812,0,1,-0.0045
0.44,0.812,0,1,-0.0045
0.459,0.812,0,1,-0.0045
0.48,0.812,0,1,-0.0045
0.501,0.812,0,1,-0.0045
0.52,0.812,0,1,-0.0045
0.541,0.812,0,1,-0.0045
0.561,0.812,0,1,-0.0045
0.581,0.812,0,1,-0.0045
0.601,0.812,0,1,-0.0045
0.621,0.812,0,1,-0.0045
0.641,0.812,0,1,-0.0045
0.661,0.812,0,1,-0.0045
0.681,0.812,0,1,-0.0045
0.7,0.8125,0,1,-0.0045
0.72,0.8125,0,1,-0.0045
0.74,0.8125,0,1,-0.0045
0.759,0.812,0,1,-0.0045
0.78,0.812,0,1,-0.0045
0.8,0.8125,0,1,-0.0045
0.82,0.8125,0,1,-0.0045
0.84,0.8125,0,1,-0.0045
0.861,0.8125,0,1,-0.0045
0.881,0.8125,0,1,-0.0045
0.901,0.8125,0,1,-0.0045
0.921,0.8125,0,1,-0.0045
0.941,0.8125,0,1,-0.0045
0.961,0.8125,0,1,-0.0045
0.981,0.8125,0,1,-0.0045
1.001,0.812,0,1,-0.0045
1.021,0.812,0,1,-0.0045
1.04,0.812,0,1,-0.0045
1.06,0.812,0,1,-0.0045
1.08,0.812,0,1,-0.0045
1.1,0.812,0,1,-0.0045
1.12,0.812,0,1,-0.0045
1.14,0.812,0,1,-0.0045
1.16,0.812,0,1,-0.0045
1.179,0.812,0,1,-0.0045
1.2,0.812,0,1,-0.00435
1.22,0.812,0,1,-0.0045
1.24,0.8125,0,1,-0.0045
1.26,0.8125,0,1,-0.0045
1.28,0.812,0,1,-0.0045
1.301,0.812,0,1,-0.0045
1.321,0.812,0,1,-0.0045
1.341,0.812,0,1,-0.00435
1.36,0.812,0,1,-0.0045
1.38,0.812,0,1,-0.0045
1.4,0.812,0,1,-0.0045
1.42,0.812,0,1,-0.0045
1.44,0.8125,0,1,-0.0045
1.46,0.812,0,1,-0.0045
1.48,0.812,0,1,-0.00435
1.501,0.812,0,1,-0.00435
1.52,0.8125,0,1,-0.00435
1.541,0.8125,0,1,-0.0045
1.561,0.8125,0,1,-0.0045
1.581,0.812,0,1,-0.0045
1.602,0.812,0,1,-0.0045
1.621,0.812,0,1,-0.0045
1.641,0.812,0,1,-0.00435
1.661,0.812,0,1,-0.00435
1.68,0.812,0,1,-0.00435
1.7,0.812,0,1,-0.00435
1.72,0.812,0,1,-0.00435
1.74,0.812,0,1,-0.00435
1.76,0.812,0,1,-0.00435
1.78,0.812,0,1,-0.0045
1.8,0.812,0,1,-0.00435
1.821,0.812,0,1,-0.0045
1.84,0.812,0,1,-0.00435
1.861,0.812,0,1,-0.00435
1.881,0.812,0,1,-0.00435
1.901,0.812,0,1,-0.00435
1.921,0.812,0,1,-0.00435
1.941,0.812,0,1,-0.0045
1.961,0.812,0,1,-0.00435
1.981,0.812,0,1,-0.0045
2,0.812,0,1,-0.00435
2.021,0.812,0,1,-0.00435
2.041,0.812,0,1,-0.00435
2.061,0.812,0,1,-0.00435
2.081,0.812,0,1,-0.00435
2.101,0.812,0,1,-0.00435
2.12,0.812,0,1,-0.00435
2.14,0.812,0,1,-0.00435
2.16,0.812,0,1,-0.00435
2.179,0.812,0,1,-0.00435
2.2,0.8125,0,1,-0.00435
2.22,0.8125,0,1,-0.00435
2.24,0.812,0,1,-0.00435
2.261,0.812,0,1,-0.00435
2.281,0.812,0,1,-0.00435
2.301,0.812,0,1,-0.00435
2.321,0.812,0,1,-0.00435
2.341,0.812,0,1,-0.00435
2.36,0.8125,0,1,-0.00435
2.38,0.812,0,1,-0.00435
2.4,0.812,0,1,-0.00435
2.42,0.812,0,1,-0.0045
2.44,0.812,0,1,-0.00435
2.459,0.812,0,1,-0.00435
2.481,0.812,0,1,-0.00435
2.501,0.812,0,1,-0.00435
2.521,0.812,0,1,-0.00435
2.541,0.812,0,1,-0.00435
2.561,0.812,0,1,-0.00435
2.58,0.8125,0,1,-0.00435
2.6,0.8125,0,1,-0.00435
2.62,0.8125,0,1,-0.00435
2.641,0.812,0,1,-0.00435
2.661,0.812,0,1,-0.00435
2.681,0.812,0,1,-0.00435
2.7,0.812,0,1,-0.00435
2.72,0.812,0,1,-0.00435
2.74,0.812,0,1,-0.00435
2.76,0.812,0,1,-0.00435
2.78,0.812,0,1,-0.00435
2.8,0.812,0,1,-0.00435
2.82,0.812,0,1,-0.00435
2.84,0.812,0,1,-0.00435
2.86,0.812,0,1,-0.0045
2.881,0.812,0,1,-0.00435
2.901,0.812,0,1,-0.00435
