Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.805,0,1,-0.00015
0.02,0.8045,0,1,-0.00015
0.041,0.8045,0,1,-0.00015
0.06,0.8045,0,1,-0.00015
0.08,0.8045,0,1,-0.00015
0.101,0.805,0,1,-0.00015
0.121,0.805,0,1,-0.00015
0.141,0.805,0,1,-0.00015
0.161,0.8045,0,1,-0.00015
0.18,0.8045,0,1,-0.00015
0.201,0.8045,0,1,-0.00015
0.221,0.8045,0,1,-0.00015
0.241,0.8045,0,1,-0.00015
0.261,0.8045,0,1,-0.00015
0.281,0.8045,0,1,-0.00015
0.301,0.8045,0,1,-0.00015
0.32,0.8045,0,1,-0.00015
0.34,0.805,0,1,-0.00015
0.359,0.8045,0,1,-0.00015
0.38,0.8045,0,1,-0.00015
0.399,0.8045,0,1,-0.00015
0.42,0.8045,0,1,-0.00015
0.439,0.804,0,1,-0.00015
0.46,0.8045,0,1,-0.00015
0.48,0.8045,0,1,-0.00015
0.5,0.8045,0,1,-0.00015
0.521,0.8045,0,1,-0.00015
0.541,0.8045,0,1,-0.00015
0.561,0.8045,0,1,-0.00015
0.581,0.8045,0,1,-0.00015
0.601,0.8045,0,1,-0.00015
0.62,0.8045,0,1,-0.00015
0.64,0.8045,0,1,-0.00015
0.66,0.8045,0,1,-0.00015
0.681,0.8045,0,1,-0.00015
0.701,0.8045,0,1,-0.00015
0.721,0.8045,0,1,-0.00015
0.741,0.8045,0,1,-0.00015
0.761,0.804,0,1,-0.00015
0.781,0.804,0,1,-0.00015
0.801,0.804,0,1,-0.00015
0.821,0.8035,0,1,-0.00015
0.841,0.804,0,1,-0.00015
0.861,0.804,0,1,-0.00015
0.881,0.804,0,1,-0.00015
0.9,0.804,0,1,-0.00015
0.92,0.804,0,1,-0.00015
0.941,0.804,0,1,-0.00015
0.961,0.8045,0,1,-0.00015
0.981,0.804,0,1,-0.00015
1.001,0.804,0,1,-0.00015
1.02,0.804,0,1,-0.00015
1.04,0.804,0,1,-0.00015
1.061,0.804,0,1,-0.00015
1.08,0.804,0,1,-0.00015
1.101,0.804,0,1,-0.00015
1.121,0.804,0,1,-0.00015
1.141,0.8045,0,1,-0.00015
1.161,0.8045,0,1,-0.00015
1.181,0.8045,0,1,-0.00015
1.201,0.804,0,1,-0.00015
1.221,0.804,0,1,-0.00015
1.241,0.804,0,1,-0.00015
1.261,0.8045,0,1,-0.00015
1.281,0.8045,0,1,-0.00015
1.301,0.8045,0,1,-0.00015
1.321,0.8045,0,1,-0.00015
1.341,0.8045,0,1,-0.00015
1.36,0.804,0,1,-0.00015
1.381,0.8045,0,1,-0.00015
1.401,0.8045,0,1,-0.00015
1.421,0.8045,0,1,-0.00015
1.441,0.8045,0,1,-0.00015
1.461,0.8045,0,1,-0.00015
1.48,0.8045,0,1,-0.00015
1.501,0.8045,0,1,-0.00015
1.521,0.8045,0,1,-0.00015
1.541,0.8045,0,1,-0.00015
1.561,0.8045,0,1,-0.00015
1.581,0.804,0,1,-0.00015
1.601,0.8045,0,1,-0.00015
1.621,0.804,0,1,-0.00015
1.641,0.8045,0,1,-0.00015
1.66,0.8045,0,1,-0.00015
1.68,0.8045,0,1,-0.00015
