Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.005,0,1,-0.0132
0.02,-0.005,0,1,-0.0132
0.039,-0.005,0,1,-0.0132
0.061,-0.005,0,1,-0.0132
0.08,-0.005,0,1,-0.0132
0.1,-0.005,0,1,-0.0132
0.121,-0.005,0,1,-0.0132
0.14,-0.005,0,1,-0.0132
0.161,-0.005,0,1,-0.0132
0.181,-0.01,0,1,-0.0132
0.201,-0.005,0,1,-0.0132
0.221,-0.005,0,1,-0.0132
0.24,-0.005,0,1,-0.0132
0.261,-0.005,0,1,-0.0132
0.281,-0.005,0,1,-0.0132
0.301,-0.005,0,1,-0.0132
0.321,-0.005,0,1,-0.0132
0.34,-0.005,0,1,-0.0132
0.361,-0.01,0,1,-0.0132
0.381,-0.005,0,1,-0.0132
0.401,-0.005,0,1,-0.0132
0.421,-0.01,0,1,-0.0132
0.442,-0.005,0,1,-0.0132
0.459,-0.01,0,1,-0.0132
0.481,-0.005,0,1,-0.0132
0.501,-0.01,0,1,-0.0132
0.521,-0.005,0,1,-0.0132
0.541,-0.01,0,1,-0.0132
0.561,-0.005,0,1,-0.0132
0.581,-0.005,0,1,-0.0132
0.601,-0.005,0,1,-0.0132
0.62,-0.005,0,1,-0.0132
0.641,-0.005,0,1,-0.0132
0.661,-0.005,0,1,-0.0132
0.68,-0.005,0,1,-0.0132
0.7,-0.005,0,1,-0.0132
0.72,-0.005,0,1,-0.0132
0.741,-0.01,0,1,-0.0132
0.761,-0.01,0,1,-0.0132
0.78,-0.01,0,1,-0.0132
0.801,-0.01,0,1,-0.0132
0.821,-0.005,0,1,-0.0132
0.841,-0.005,0,1,-0.0132
0.86,-0.005,0,1,-0.0132
0.88,-0.005,0,1,-0.0132
0.901,-0.005,0,1,-0.0132
0.921,-0.005,0,1,-0.0132
0.941,-0.005,0,1,-0.0132
0.961,-0.005,0,1,-0.0132
0.981,-0.005,0,1,-0.0132
1.001,-0.01,0,1,-0.0132
1.021,-0.005,0,1,-0.0132
1.041,-0.005,0,1,-0.0132
1.062,-0.01,0,1,-0.0132
1.081,-0.005,0,1,-0.0132
1.099,-0.01,0,1,-0.0132
1.121,-0.005,0,1,-0.0132
1.141,-0.005,0,1,-0.0132
1.161,-0.01,0,1,-0.0132
1.181,-0.01,0,1,-0.0132
1.2,-0.01,0,1,-0.0132
1.22,-0.005,0,1,-0.0132
1.241,-0.01,0,1,-0.0132
1.26,-0.005,0,1,-0.0132
1.281,-0.005,0,1,-0.0132
1.3,-0.005,0,1,-0.0132
1.32,-0.005,0,1,-0.0132
1.341,-0.01,0,1,-0.0132
1.361,-0.01,0,1,-0.0132
1.381,-0.005,0,1,-0.0132
1.401,-0.005,0,1,-0.0132
1.419,-0.005,0,1,-0.0132
1.441,-0.005,0,1,-0.0132
1.46,-0.005,0,1,-0.0132
1.48,-0.005,0,1,-0.0132
1.5,-0.005,0,1,-0.0132
1.52,-0.01,0,1,-0.0132
1.541,-0.01,0,1,-0.0132
1.56,-0.005,0,1,-0.0132
1.581,-0.01,0,1,-0.0132
1.601,-0.01,0,1,-0.0132
1.621,-0.005,0,1,-0.0132
1.641,-0.005,0,1,-0.0132
1.661,-0.01,0,1,-0.0132
1.681,-0.005,0,1,-0.0132
1.701,-0.005,0,1,-0.0132
1.72,-0.005,0,1,-0.0132
1.741,-0.005,0,1,-0.0132
1.761,-0.005,0,1,-0.0132
1.781,-0.005,0,1,-0.0132
1.801,-0.005,0,1,-0.0132
1.82,-0.005,0,1,-0.0132
1.841,-0.005,0,1,-0.0132
1.861,-0.005,0,1,-0.0132
1.881,-0.01,0,1,-0.0132
1.9,-0.01,0,1,-0.0132
1.921,-0.005,0,1,-0.0132
1.941,-0.005,0,1,-0.0132
1.96,-0.005,0,1,-0.0132
1.981,-0.01,0,1,-0.0132
2,-0.01,0,1,-0.0132
2.021,-0.005,0,1,-0.0132
2.041,-0.01,0,1,-0.0132
2.061,-0.005,0,1,-0.0132
2.08,-0.005,0,1,-0.0132
2.101,-0.005,0,1,-0.0132
2.12,-0.01,0,1,-0.0132
2.141,-0.005,0,1,-0.0132
2.161,-0.005,0,1,-0.0132
2.181,-0.01,0,1,-0.0132
2.202,-0.01,0,1,-0.0132
2.22,-0.005,0,1,-0.0132
2.241,-0.005,0,1,-0.0132
2.261,-0.01,0,1,-0.0132
2.28,-0.01,0,1,-0.0132
2.301,-0.005,0,1,-0.0132
2.32,-0.005,0,1,-0.0132
2.341,-0.005,0,1,-0.0132
2.36,-0.01,0,1,-0.0132
2.381,-0.01,0,1,-0.0132
2.4,-0.005,0,1,-0.0132
2.419,-0.005,0,1,-0.0132
2.441,-0.01,0,1,-0.0132
2.46,-0.01,0,1,-0.0132
2.48,-0.005,0,1,-0.0132
2.501,-0.005,0,1,-0.0132
2.519,-0.005,0,1,-0.0132
2.541,-0.01,0,1,-0.0132
2.56,-0.005,0,1,-0.0132
2.58,-0.005,0,1,-0.0132
2.601,-0.005,0,1,-0.0132
2.62,-0.01,0,1,-0.0132
2.641,-0.005,0,1,-0.0132
2.661,-0.005,0,1,-0.0132
2.681,-0.005,0,1,-0.0132
2.701,-0.01,0,1,-0.0132
2.721,-0.01,0,1,-0.0132
2.74,-0.005,0,1,-0.0132
2.761,-0.01,0,1,-0.0132
2.781,-0.005,0,1,-0.0132
2.801,-0.005,0,1,-0.0132
2.821,-0.005,0,1,-0.0132
2.84,-0.005,0,1,-0.0132
2.861,-0.01,0,1,-0.0132
2.88,-0.005,0,1,-0.0132
2.901,-0.01,0,1,-0.0132
2.92,-0.01,0,1,-0.0132
2.94,-0.005,0,1,-0.0132
2.96,-0.005,0,1,-0.0132
2.981,-0.005,0,1,-0.0132
3.001,-0.005,0,1,-0.0132
3.021,-0.01,0,1,-0.0132
3.041,-0.005,0,1,-0.0132
3.06,-0.01,0,1,-0.0132
3.081,-0.005,0,1,-0.0132
3.1,-0.005,0,1,-0.0132
3.12,-0.01,0,1,-0.0132
3.141,-0.005,0,1,-0.0132
3.161,-0.005,0,1,-0.0132
3.181,-0.005,0,1,-0.0132
3.2,-0.01,0,1,-0.0132
3.221,-0.005,0,1,-0.0132
3.24,-0.01,0,1,-0.0132
3.259,-0.005,0,1,-0.0132
3.281,-0.005,0,1,-0.0132
3.3,-0.005,0,1,-0.0132
3.321,-0.005,0,1,-0.0132
3.341,-0.01,0,1,-0.0132
3.361,-0.005,0,1,-0.0132
3.381,-0.01,0,1,-0.0132
3.4,-0.01,0,1,-0.0132
3.421,-0.005,0,1,-0.0132
3.441,-0.005,0,1,-0.0132
3.46,-0.005,0,1,-0.0132
3.481,-0.01,0,1,-0.0132
3.501,-0.005,0,1,-0.0132
3.52,-0.01,0,1,-0.0132
3.54,-0.01,0,1,-0.0132
3.559,-0.01,0,1,-0.0132
3.581,-0.01,0,1,-0.0132
3.6,-0.01,0,1,-0.0132
3.621,-0.005,0,1,-0.0132
3.64,-0.005,0,1,-0.0132
3.661,-0.01,0,1,-0.0132
3.681,-0.005,0,1,-0.0132
3.7,-0.005,0,1,-0.0132
3.721,-0.005,0,1,-0.0132
3.741,-0.005,0,1,-0.0132
3.761,-0.01,0,1,-0.0132
3.781,-0.005,0,1,-0.0132
3.801,-0.01,0,1,-0.0132
3.821,-0.005,0,1,-0.0132
3.84,-0.005,0,1,-0.0132
3.86,-0.005,0,1,-0.0132
3.88,-0.005,0,1,-0.0132
3.901,-0.01,0,1,-0.0132
3.92,-0.005,0,1,-0.0132
3.94,-0.01,0,1,-0.0132
3.96,-0.005,0,1,-0.0132
3.979,-0.005,0,1,-0.0132
4.001,-0.005,0,1,-0.0132
4.021,-0.01,0,1,-0.0132
4.041,-0.005,0,1,-0.0132
