Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.0033,0,1,0.1917
0.021,0.00315,0,1,0.1917
0.04,0.00345,0,1,0.1917
0.06,0.0036,0,1,0.1917
0.08,0.0036,0,1,0.1917
0.1,0.0033,0,1,0.1917
0.121,0.0033,0,1,0.1917
0.14,0.00345,0,1,0.1917
0.161,0.00345,0,1,0.1917
0.18,0.00345,0,1,0.1917
0.201,0.0033,0,1,0.1917
0.221,0.0033,0,1,0.1917
0.241,0.00315,0,1,0.1917
0.26,0.00315,0,1,0.1917
0.28,0.00315,0,1,0.1917
0.301,0.00315,0,1,0.1917
0.321,0.00315,0,1,0.1917
0.341,0.00315,0,1,0.1917
0.361,0.00315,0,1,0.1917
0.381,0.00345,0,1,0.1917
0.4,0.0033,0,1,0.1917
0.42,0.0033,0,1,0.1917
0.44,0.0033,0,1,0.1917
0.46,0.00345,0,1,0.1917
0.48,0.00345,0,1,0.1917
0.501,0.00315,0,1,0.1917
0.521,0.00315,0,1,0.1917
0.541,0.0033,0,1,0.1917
0.561,0.00345,0,1,0.1917
0.581,0.0036,0,1,0.1917
0.601,0.0036,0,1,0.1917
0.621,0.0033,0,1,0.1917
0.64,0.0033,0,1,0.1917
0.661,0.0036,0,1,0.1917
0.681,0.00315,0,1,0.1917
0.701,0.0033,0,1,0.1917
0.72,0.0033,0,1,0.1917
0.74,0.00315,0,1,0.1917
0.76,0.00315,0,1,0.1917
0.78,0.003,0,1,0.1917
0.8,0.0027,0,1,0.1917
0.821,0.003,0,1,0.1917
0.841,0.003,0,1,0.1917
0.861,0.003,0,1,0.1917
0.881,0.0033,0,1,0.1917
0.901,0.0033,0,1,0.1917
0.921,0.0033,0,1,0.1917
0.941,0.00345,0,1,0.1917
0.961,0.0033,0,1,0.1917
0.981,0.00345,0,1,0.1917
1.001,0.00345,0,1,0.1917
1.021,0.00345,0,1,0.1917
1.041,0.00345,0,1,0.1917
1.06,0.0033,0,1,0.1917
1.081,0.00315,0,1,0.1917
1.101,0.003,0,1,0.1917
1.121,0.0033,0,1,0.1917
1.141,0.00315,0,1,0.1917
1.161,0.00315,0,1,0.1917
1.181,0.0033,0,1,0.1917
1.201,0.00315,0,1,0.1917
1.221,0.0033,0,1,0.1917
1.241,0.00315,0,1,0.1917
1.261,0.00315,0,1,0.1917
1.281,0.0033,0,1,0.1917
1.301,0.0033,0,1,0.1917
1.321,0.003,0,1,0.1917
1.341,0.003,0,1,0.1917
1.361,0.003,0,1,0.1917
1.381,0.00315,0,1,0.1917
1.4,0.003,0,1,0.1917
1.42,0.00315,0,1,0.1917
1.439,0.00315,0,1,0.1917
1.46,0.00315,0,1,0.1917
1.481,0.00315,0,1,0.1917
1.5,0.00315,0,1,0.1917
1.521,0.003,0,1,0.1917
1.541,0.0033,0,1,0.1917
1.561,0.00345,0,1,0.1917
1.58,0.0033,0,1,0.1917
1.601,0.003,0,1,0.1917
1.62,0.00285,0,1,0.1917
1.641,0.00285,0,1,0.1917
1.661,0.00285,0,1,0.1917
1.681,0.00285,0,1,0.1917
1.701,0.00285,0,1,0.1917
1.721,0.0027,0,1,0.1917
