Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,0.828,0,1,-0.01305
0.02,0.828,0,1,-0.01305
0.039,0.828,0,1,-0.01305
0.06,0.828,0,1,-0.01305
0.079,0.828,0,1,-0.01305
0.1,0.828,0,1,-0.01305
0.121,0.828,0,1,-0.01305
0.14,0.828,0,1,-0.01305
0.16,0.828,0,1,-0.01305
0.181,0.828,0,1,-0.01305
0.2,0.828,0,1,-0.01305
0.219,0.828,0,1,-0.01305
0.24,0.8275,0,1,-0.01305
0.26,0.828,0,1,-0.01305
0.28,0.828,0,1,-0.01305
0.3,0.828,0,1,-0.01305
0.32,0.828,0,1,-0.01305
0.34,0.828,0,1,-0.01305
0.361,0.828,0,1,-0.01305
0.381,0.828,0,1,-0.01305
0.401,0.828,0,1,-0.01305
0.42,0.828,0,1,-0.01305
0.44,0.828,0,1,-0.01305
0.459,0.828,0,1,-0.01305
0.48,0.828,0,1,-0.01305
0.5,0.828,0,1,-0.01305
0.52,0.828,0,1,-0.01305
0.539,0.828,0,1,-0.01305
0.56,0.828,0,1,-0.01305
0.58,0.828,0,1,-0.01305
0.599,0.828,0,1,-0.01305
0.62,0.828,0,1,-0.01305
0.64,0.828,0,1,-0.01305
0.661,0.828,0,1,-0.01305
0.68,0.828,0,1,-0.01305
0.701,0.8275,0,1,-0.01305
0.72,0.8275,0,1,-0.01305
0.74,0.8275,0,1,-0.01305
0.76,0.8275,0,1,-0.01305
0.78,0.828,0,1,-0.01305
0.801,0.8275,0,1,-0.01305
0.82,0.8275,0,1,-0.01305
0.84,0.8275,0,1,-0.01305
0.86,0.8275,0,1,-0.01305
0.881,0.828,0,1,-0.01305
0.9,0.828,0,1,-0.01305
0.921,0.828,0,1,-0.01305
0.94,0.828,0,1,-0.01305
0.961,0.828,0,1,-0.01305
0.981,0.828,0,1,-0.01305
1,0.828,0,1,-0.01305
1.02,0.828,0,1,-0.01305
1.04,0.828,0,1,-0.01305
1.06,0.828,0,1,-0.01305
1.08,0.828,0,1,-0.01305
1.1,0.828,0,1,-0.01305
1.119,0.8285,0,1,-0.01305
1.14,0.8285,0,1,-0.01305
1.16,0.828,0,1,-0.01305
1.18,0.828,0,1,-0.01305
1.2,0.828,0,1,-0.01305
1.22,0.8285,0,1,-0.01305
1.24,0.8285,0,1,-0.01305
1.26,0.828,0,1,-0.01305
1.28,0.8285,0,1,-0.01305
1.3,0.8285,0,1,-0.01305
