Zeit t / s,Spannung U_B1 / V,Relais R_1,Spannungsquelle S_1,Spannung U_A1 / V
0,-0.0035,0,1,0.19095
0.02,-0.0035,0,1,0.19095
0.039,-0.0035,0,1,0.19095
0.061,-0.0035,0,1,0.19095
0.081,-0.0035,0,1,0.19095
0.101,-0.0035,0,1,0.1911
0.12,-0.0035,0,1,0.19095
0.14,-0.0035,0,1,0.1911
0.16,-0.0035,0,1,0.19095
0.179,-0.0035,0,1,0.1911
0.2,-0.0035,0,1,0.1911
0.219,-0.0035,0,1,0.1911
0.241,-0.0035,0,1,0.1911
0.261,-0.0035,0,1,0.19095
0.281,-0.0035,0,1,0.19095
0.301,-0.0035,0,1,0.19095
0.32,-0.0035,0,1,0.19095
0.34,-0.0035,0,1,0.1911
0.36,-0.0035,0,1,0.1911
0.38,-0.0035,0,1,0.1911
0.4,-0.003,0,1,0.19095
0.42,-0.0035,0,1,0.19095
0.44,-0.003,0,1,0.19095
0.461,-0.0035,0,1,0.1911
0.481,-0.0035,0,1,0.19095
0.501,-0.0035,0,1,0.1911
0.521,-0.0035,0,1,0.19095
0.541,-0.0035,0,1,0.1911
0.561,-0.0035,0,1,0.19095
0.581,-0.0035,0,1,0.19095
0.601,-0.0035,0,1,0.1911
0.621,-0.0035,0,1,0.19095
0.64,-0.0035,0,1,0.1911
0.66,-0.0035,0,1,0.19095
0.68,-0.0035,0,1,0.19095
0.701,-0.0035,0,1,0.19095
0.72,-0.0035,0,1,0.1911
0.74,-0.0035,0,1,0.19095
0.76,-0.0035,0,1,0.19095
0.78,-0.0035,0,1,0.19095
0.801,-0.0035,0,1,0.19095
0.821,-0.0035,0,1,0.1911
0.841,-0.0035,0,1,0.19095
0.86,-0.0035,0,1,0.19095
0.881,-0.0035,0,1,0.1911
0.901,-0.0035,0,1,0.19095
0.921,-0.0035,0,1,0.1911
0.941,-0.0035,0,1,0.19095
0.961,-0.0035,0,1,0.19095
0.98,-0.0035,0,1,0.19095
1.001,-0.0035,0,1,0.19095
1.02,-0.0035,0,1,0.19095
1.04,-0.0035,0,1,0.1911
1.06,-0.0035,0,1,0.1911
1.08,-0.0035,0,1,0.19095
1.1,-0.003,0,1,0.19095
1.12,-0.0035,0,1,0.19095
1.141,-0.0035,0,1,0.19095
1.161,-0.003,0,1,0.19095
